,title,price,image
0,Wayanadan Cardamom - इलायची ( 8+ Sized),from Rs. 530.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/Card1_{width}x.jpg?v=1650886991
1,Wayanadan Black Pepper - काली मिर्च,from Rs. 460.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/pepper_{width}x.jpg?v=1650884698
2,Wayanadan Clove -  वयनाड लौंग,from Rs. 440.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/clove_{width}x.jpg?v=1650883774
3,Cinnamon | दालचीनी - 200g,Rs. 560.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/Cinnamon1_{width}x.jpg?v=1650886016
4,Wayanadan Turmeric | हल्दी,Rs. 290.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/turmeric_{width}x.jpg?v=1650884501
5,Wayanadan Black Pepper - काली मिर्च -  Powder,from Rs. 480.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/black-pepper_{width}x.jpg?v=1650883660
6,Wayanadan Gandhakasala Rice (Aromatic Rice),from Rs. 380.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/AromaticRice1_{width}x.jpg?v=1646650942
7,Wayanadan Green Tea - Loose Leaf,Rs. 380.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/WayanadTea_Looseleaf_{width}x.jpg?v=1621622670
8,Wayanadan Tea BOP (Big granules),from Rs. 285.00,//cdn.shopify.com/s/files/1/0496/0623/0167/products/Tea-10.58_{width}x.jpg?v=1646717411
