,title,product_code,health,ingredients,weight,price,image
93,Jasmine Tea - Argent + Stay Beautiful Tin                    15G,SKU: JT02-PKG34,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect",Jasmine Tea - Argent,15 gms | 1 Mini Tin,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Stay_Beautiful-2_1000x.jpg?v=1575093980
94,Rosy Star Tisane         75G,SKU: BLD98,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger",75 gms = 57 Cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Rosystar_1000x.jpg?v=1609227309
95,The Rare Green Rooibos Herbal Tea   200G,SKU: HT05,"Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.","A rare herbal tea, grown only in Western Cape Province in South Africa.",200 gms | 152 cups,"Rs. 2,340 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT05_3_1000x.jpg?v=1630317142
96,Rosy Rooibos Glow Tea Blend                      200G,SKU: BLD22,"Carries anti-aging, Anti-anxiety properties, Good for menopause, liver health, Hair and skin, Boosts immune system, Reduces hypertension, Improves cardio-vascular health.","Organic Rooibos, French Pink Rose petals, Bulgarian Red Rose petals",200 gms | 136 cups,"Rs.1,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD22_2_1000x.jpg?v=1630315919
97,"Contrast Bloom Blooming Tea, 10pcs",SKU: TBL15,"Marigold, Jasmine and Globe Amaranth flowers offer a soothing and aromatic experience. Good for digestion Good for Eyes, Relieves stress, Lowers cholesterol level, Packed with anti-oxidants.",1 marigold+ 1 jasmine + 1 Gomphrena globosa tied to make 1 bloom,10 pcs | 30 cups,"Rs.1, 600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_15_60bc559d-e273-41f0-a0c3-0b03b82f17eb_1000x.jpg?v=1615446681
98,"Bloom of Three Blooming Tea, 10pcs",SKU: TBL08,"Chrysanthemum, Jasmine and Lily flower petals intricately wrapped with fine green tea leaves and masterfully tied to make each bloom that  delicately caress your senses..Good for eyes, Good for Heart, Good for Immune system, Metabolism, Relaxation, Weight loss, Relieves stress.","Intricate blossoms of 1 chrysanthemum,   jasmine & lily petals",10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_08_1000x.jpg?v=1615446272
99,"Treat for Eyes Blooming Tea, 10pcs",SKU: TBL07,"1 Marigold, 1 Jasmine and Globe Amaranth flowers. delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses.Tea bloom when dropped in freshly boiled water, it â€œbloomsâ€",1 marigold + 1 Jasmine + gomphrena globosa,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_07_1000x.jpg?v=1615446238
100,"Sri Lankan Orange Pekoe OP1 ( first quality, fine grade) Ceylon Loose Leaf Black Tea Pouch     200G",SKU: BT10,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs. 1,300 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT10_1000x.jpg?v=1581335515
101,"Sri Lankan FBOPF EX SP ( Extra Special Flowery Broken Orange Pekoe) Ceylon Loose Leaf Black Tea Tin, 100G",SKU: BT06,"Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT06_1000x.jpg?v=1581329596
104,Fit Tea Care Package                        2 x 25g,SKU: TCP05,"Packed with anti-oxidant.Purifies blood, Relieves stress, Has a calming effect on mind and body, Promotes anti-aging, Packed with anti-oxidants, Good for heart, lungs, Clears chest congestion. Boosts immunity.","25g Organic Smoky Green Whole Leaf GreenTea, 25g Anji White Whole Leaf Green Tea, 320ml Mug,Â 1 Candle",Tea Care Package      2 x 25G Tea Tins,"Rs.3,400 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/4_1cb10121-98d2-40bf-9aab-68f7943e3a6d_1000x.jpg?v=1581596391
105,Three Mini Most Aromatic Jasmine Teas                        3 x 25g,SKU: ST36,"Anti-oxidant, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","25g Chinese Sanhua  Argent Jasmine Tea, 25g  Chinese Jasmine Argent Tea, 25g  Indian Organic Jasmine Black Tea",25g x 3 Teas,"Rs.1,500 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_03_1000x.jpg?v=1581504901
106,"Green Revolution Tea Blend Pouch, 150g",SKU: BLD80,"Packed with anti-oxidants, Aids weight loss, Improves brain function, Lowers cholesterol, Balances hormones, Prevents respiratory disorders, Good for digestion.","Green Tea, Indian Holy Basil, Organic Lemongrass",150 gms | 102 cups,"Rs.1,850 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD80_1000x.jpg?v=1581149617
107,Root Therapy Tea Blend                        50G,SKU: BLD79,"Improves sleep disorders and memory, Eases heart burn, Prevents stomach disorders, Promotes relaxation, lowers blood pressure.","Valerian Root, Licorice Root, Gingko Biloba",50 gms = 25 cups,"Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD79_1000x.png?v=1573888569
108,Kiss Of Mint Loose Leaf Tea Blend pouch                 200G,SKU: BLD64,"Improves brain function, Dental health, Aids weight loss, Prevents nausea, Relieves motion sickness, Good for skin, Hair, Digestion.","Chunmee Green Tea, Peppermint, Ginger mint",200 gms | 200 cups,"Rs. 2,100/ pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_64_1000x.jpg?v=1581336480
109,Organic Darjeeling TGBOP ( Tippy Golden Broken Orange Pekoe) 2nd Flush Loose Leaf Black Tea Tin      150G,SKU: BT32,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT32-2_1000x.jpg?v=1623665152
111,Darjeeling AV2 (Ambari Vegetative) Clonal - Argent Loose Leaf Black Tea Tin                 100G,SKU: BT13,"Packed with anti-oxidants, Good for cholesterol Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 100 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT13-1_1000x.jpg?v=1624352928
112,You Are Special Gift Care Box                   100G Tea,SKU: VDAY09,"Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure, Anti-oxidant","(100gms Dooars Green Tea,Â 300ml Mug, 1 Candle)",Gift Box,"Rs. 3,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box8_1_1_1000x.jpg?v=1611810914
113,Organic Darjeeling TGBOP  ( Tippy Golden Broken Orange Pekoe) 1st Flush Loose Leaf Black Tea                         150G,SKU: BT31,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT31-1_1000x.jpg?v=1624352958
114,"Lets Lift Iced Tea Tin, 30 pcs",SKU: IC04,"Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care","Hibiscus, Orange Peel and Rosehip.",30 pcs | 30 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-04-2_1000x.jpg?v=1640179221
115,White Lavender Paradise                    50G,SKU: BLD01,"Packed with anti-oxidants, Removes toxins, Promotes relaxation, Digestive care, Detoxifies the body.","Organic White Bai Mudan leaves, French Lavender buds, Lavender leaves",50 gms = 50 cups,"Rs. 1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLavenderparadise_1000x.jpg?v=1597053196
117,Six Mini TDTs Oolong Teas            6 x 25 g,SKU: ST25,"Help Manage Stress, Weight Loss, Help Prevent Diabetes, Heart Health, Improve Brain Function, Protect Against Certain Cancers, Promote Tooth and Bone Strength, Lower Cholesterol","25g  Darjeeling Loose Leaf Oolong Tea, 25g of Taiwanese Premium Argent Loose Leaf Oolong Tea, 25g of Taiwanese Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin  Autumn Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin Spring Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin Or Loose Leaf Oolong Tea",,"Rs. 3,700 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Set_6_Oolong_Tea_1000x.jpg?v=1580904284
118,Secret of Darjeeling FTGFOP ( Fine Tippy Golden Pekoe Orange Pekoe) 2nd Flush Black loose leaf Tea Tin                      100G,SKU: BT24(C),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_C_-2_29b1eafa-541b-4dc7-8391-5b5caca728e0_1000x.jpg?v=1623664742
120,"Un bouquet de Jasmine, 100 G",SKU: DT03,"Promotes weight loss, Good for heart, Packed with anti-oxidants, Anti-aging properties, Boosts cardio vascular health, Enhances mood","Organic Designer Peridot Tea, natural Jasmine flavour",100 gms | 132 cups,"Rs. 4,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT03_962a173a-ef05-4995-8148-56d8be0174c9_1000x.jpg?v=1581329526
121,Chinese Fujian White Moon Cake Tea                       75 G,SKU: WT05,"Packed with anti-oxidants, Anti-aging properties, Good for skin and weight loss, Anti-bacterial.",Whole leaves White Tea,75 gms | 56 cups,"Rs. 2,250 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT05_1000x.jpg?v=1609408128
122,Jasmine Amaranth affair Blooming Tea 10 pcs,SKU: TBL16,"Fine green, blooming tea with leaves intricately wrapped around 4 Jasmine and 1 Globe Amaranth flowers. When the tea bloom is dropped in freshly boiled water, it â€œbloomsâ€",Each flower is made of 4 jasmines + 1 Gomphrena Globosa tied with whole green tea leaves,10 pcs | 30 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_16_1000x.jpg?v=1615446752
123,Tibet Black Tea  250 G,SKU: BT05,"Promotes well-being of gastro-intestinal tract, Reduces fat and bad cholesterol, Promotes weight loss, Reduces hypertension, Rejuvenates skin.",Whole leaves Black Tea,1 pcs | 417 Cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT05_43a6e981-9ce3-40b2-9bcb-0aad10fac4b8_1000x.png?v=1573889358
124,"Crown of Darjeeling Black FTGFOP ( Fine Tippy Golden Flowery Orange Pekoe)  First Flush- Platine, Loose Leaf Tea Tin                100G",SKU: BT20,"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT20-1_1000x.jpg?v=1624352994
125,Spirit of Darjeeling FTGFOP-1 ( Fine Tippy Golden Flowery Orange Pekoe) First Flush- Black Loose Leaf Tea Tin               100G,SKU: BT19(B),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,900 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_B_-2_1000x.jpg?v=1623665212
126,"Organic Jewel of Darjeeling TGBOP-1 (Tippy Golden Broken Orange Pekoe) First Flush- Argent,Black Loose Leaf Tea Tin  150G",SKU: BT18(A),"Packed with anti-oxidants, good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 150 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT18_A_-1_1000x.jpg?v=1623664218
127,Rare Chinese Purple Tea Cake                   200 gms,SKU: HT07,"Promotes weight loss control blood, Pressure and cholesterol, Relieves hypertension and aids digestion.",Whole leaves Herbal Tea,200 gms | 200 cups,"Rs. 2,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT07_7bf86e05-fafb-450b-9bec-a820d7391a80_1000x.jpg?v=1609407822
128,Power Squad Iced Tea Tin                  30 pcs,SKU: IC09,"Rich in anti-oxidants, Prevents sleep disorders, Aids weight loss, Boosts immune system, Improves heart functions, Clears common cold.","Star Anise, Cardamom and Cinnamon",30 pcs | 30 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-09-2_1000x.jpg?v=1640179303
129,Moroccan Mint Iced Tea Tin 30 pcs,SKU: IC05,"Good for immune system, Hormonal imbalances, Memory, Nausea, Muscle pain, Detoxifying the body, Respiratory issues, Bad breath, Weight loss. ",Mint & Lemongrass,30 pcs | 30 cups,"Rs.1,150 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-05-2_1000x.jpg?v=1640179269
133,Exclusive Pamper With Tea  Care Pack                       2 x 25 g,SKU: TCP08,"Soothing and calming, mood relieving, sleep inducing","25g Jasmine Argent Tea, 25g Organic Jasmine Black Tea,Â 1 Stacked Tea Set, 1 Candle",Tea Care Package      2 x 25G Tea Tins,"Rs.7,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/20_fffb3a8f-0cb1-471e-82c3-c800791ffb45_1000x.jpg?v=1581673777
134,Exclusive Three Mini Rare Chinese Sichuan Red Black Tea        3 x 25 g,SKU: ST33,"Boosts heart functions, Cleanses the body, Aids weight loss, Fights cancer. Good for cardiovascular health, Cholesterol control, Lowers blood pressure, Relieves hypertension.","25g  Gong Fu Red Argent Black Tea, 25g  Gong Fu Red  Or Black Tea, 25g Red Leaf Platine Black Tea",Tea Care Package    25 g x 3 Teas,"Rs. 2,600 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT22_21_04_1000x.jpg?v=1581502613
135,Three Mini Artisan White Teas         3x15 g,SKU: ST29,"Purifies blood, Relieves stress, Has a calming effect on mind and body, Promotes anti-aging, Packed with anti-oxidants, Good for heart, Boosts immunity.","15g Chinese White Silver Needle Bud,15g Darjeeling Indian Organic White Bai Mudan - Platine, 15g Indian Organic White Bai Mudan Argent",Tea Care Package       15g x 3 Teas,"Rs.1,850 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_12_04_1000x.jpg?v=1581497806
136,Three Mini Premium Oolong Teas           3 x 25 g,SKU: ST28,Add a glow to your skin and a spring in your step.,"25g  Tie Guan Yin Autumn Chinese Oolong Tea, 25g Taiwanese Oolong Tea â€“ Argent, 25g Tie Guan Yin â€“ Or Chinese Oolong Tea",25g x 3 Teas,"Rs. 2,350 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT16_02_07_1000x.jpg?v=1581497390
137,Citrus Story Tea Blend Pouch        150 g,SKU: BLD70,"Aids weight loss, Promotes skin care, Improves digestion, Reduces cholesterol, Powers immune system, Promotes detoxification.","Lemongrass, Orange peel, Kaffir lime leaves",150 gms | 75 cups,"Rs. 2,800 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD70_1000x.jpg?v=1581149498
138,Pretty in Pink Tea Blend Pouch      150 g,SKU: BLD26,"Rich in anti-oxidants, Good for joints, Prevents sleep disorders, Protects liver, Anti-depressant, Good for menopause, Packed with Vitamins.","Bulgarian Red Rose petals, Star Anise, Hibiscus",150 gms | 102 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD26_1000x.jpg?v=1581148999
139,Mint & Rooibos Tea Blend                           200 G,SKU: BLD44,"Reduces hypertension, Premature aging, Relieves motion sickness, Prevents stomach disorders, Good for skin and hair, Packed with Vitamin C, Anti-oxidants.","Organic Green Rooibos, Mint",200 gms | 200 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD44_2_1000x.jpg?v=1630316314
130,Marigold Medley Blooming Tea       10 pcs,SKU: TBL14,"Fine green tea leaves  delicately sewn with 3 vibrant Marigold flowers, delicately hand woven and tied together to create a blooming tea that delights all your senses. When each bloom is dropped in freshly boiled water, it blooms.              Good for digestion, Anti-septic, Skin care, Immune system, Good for Eyes, Eases cramps.",3 marigolds tied to tender green tea leaves to form a bloom,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_14-1_1000x.jpg?v=1615446631
141,"Organic Darjeeling Secret FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) First Flush- Platine, Loose Leaf Black Tea Tin       100 G",SKU: BT17(C),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss,, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_C_-1_1000x.jpg?v=1623664134
142,Mars & Venus Iced Tea Tin                 30 pcs,SKU: IC06,"Carries anti-aging, Anti-anxiety properties, Good for menopause, Hair and skin, Boosts immune system, Reduces hypertension, Improves cardio-vascular health, Good for liver health.  
               ","Organic Rooibos, French Pink Rose petals, Bulgarian Red Rose petals",30 pcs | 30 cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-06-2_1000x.jpg?v=1640179257
143,Hint of Mint Iced Tea Tin                  30 pcs,SKU: IC03,"Reduces hypertension, Premature aging, Improves cardio-vascular health, Good for hair, Reduces nausea, Cures muscle pain, Detoxifies the body, Boosts immune system, Prevents bad breath, Aids weight loss.","Organic Rooibos, Peppermint, Ginger mint",30 pcs | 30 cups,"Rs. 2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-03-2_1000x.jpg?v=1640179209
144,Herbal Care                  75 G,SKU: BLD88,1. Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Boosts immune system 5. Aids weight loss 6. Improves heart functions.,"Black Ginger, Cinnamon, Brown Cardamom","75 gms = 57 Cups,","Rs. 1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Herbalcare_1000x.jpg?v=1609226730
145,Femme Fatale Tea Blend                             100 G,SKU: BLD23,"Packed with anti-oxidants, Anti-aging properties, Good for blood pressure, Heart, Digestive system, Liver and skin, Reduces anxiety.","Moringa leaves, French Pink Rose petals, Bulgarian Red Rose petals",100 gms = 68 cups,Rs. 900 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD23_1000x.png?v=1573887287
146,The Musical Loose Leaf Tea Blend Pouch                 100 G,SKU: BLD16,"Packed with anti-oxidants, Anti-aging properties, Prevents sleep disorders Remove toxins, Regulates blood sugar levels, Aids weight loss, Boosts immune system.","Organic White Bai Mudan leaves, Star Anise and Cinnamon",100 gms | 100 cups,"Rs.1,500 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_16_1000x.jpg?v=1581336356
147,The First Kiss Loose Leaf  Tea Blend Pouch      150 G,SKU: DT02,"Promotes relaxation, Prevents digestive issues, Helps cancer prevention, Dental health, Weight loss, Good for bones and heart, Anti-stress.",Organic Darjeeling Black Tea and French Lavender buds,150 gms | 150 cups,"Rs. 2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_11_1000x.jpg?v=1581336320
148,Un Bouquet de Rose                  100 G,SKU: BLD11,"Promotes weight loss, Rich in anti-oxidants & anti-aging properties, Boosts cardiovascular health, Good for skin.","Organic Designer Peridot Tea, natural Rose flavour",100 gms | 132 cups,"Rs. 4,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT02_cdef412e-c29a-4ab6-a14d-8c4b7ebe1c2c_1000x.jpg?v=1581329502
149,Organic Black Jasmine Tea,SKU: JT06,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity, Has calming effect.",Whole leaves Jasmine Tea,50 gms | 50 cups,"Rs.2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09871_1000x.jpg?v=1633932887
150,Chinese Fujian Zen White Tea Cake  357 g,SKU: WT06,"Boosts weight loss, Anti-cancer, Skin beautification, Anti-inflammatory, Packed with anti-oxidants.",Whole leaves White Tea,357 gms | 476 cups,"Rs.15,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT-06_1000x.jpg?v=1562849186
151,Organic Darjeeling FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) -Clonal- 1st Flush - Black Loose Leaf Tea              100 G,SKU: BT29,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.2,250 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT29-2_1000x.jpg?v=1623664965
152,Organic Pride of Darjeeling TGBOP (Fine Golden  Broken Orange Pekoe) 2nd Flush Black Loose Tea Pouch                 150 G,SKU: BT25(A),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,850 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT25_A_-2_1000x.jpg?v=1623664826
153,Organic Soul of Darjeeling FTGFOP (Fine Tippy Golden Flowery Orange Pekoe) 2nd Flush Black Loose Leaf Tea Tin                100 G,SKU: BT24 (B),"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart, Stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs.1,850 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_B_-2_1000x.jpg?v=1623664677
154,Chateau De Versailles Tea Blend 50 G,SKU: BLD09,"Relieves stress, Good for heart, Anti-aging, Lowers cholesterol, Replenishes fever, Prevents respiratory disorders, Good for eyes.",Organic Golden Needle Buds & Chrysanthemum Petals,50 gms =66 cups,"Rs.1,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD09_1000x.png?v=1573886653
156,Thinking Of You Gift Box       1 x 50 G,SKU: VDAY12,"Rich in anti-oxidants, Helps fight cancer, Lowers risk of brain stroke.â€¨
","50 gm Chinese Huo Shan Huang Ya - Argent Yellow Loose Leaf Tea, 1 candle, 320 ml Mug",Gift Box                     50 g x 1 Tea,"Rs.3,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box6_1_1000x.jpg?v=1611770470
158,"Chinese Shui Yun You, Award Wining Ripe Pu'er Tea Cake- (Guangzhou International Tea Expo-2008, grown in Menghai, China)     EXCLUSIVE-1 Pc. ONLY
 357 G",SKU: PT22,"Refreshes the body, Cleanses heat toxins, Summer cooler, Aids digestion, Promotes weight loss.",Whole leaves Pu'er Tea,357 gms | 952 Cups,"Rs. 10,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT22_1000x.jpg?v=1609408080
159,"Chinese Shui Yun You, Award winning Raw Pu'er Tea Cake- (Guangzhou International Tea Expo-2008, grown in Menghai, China)     EXCLUSIVE-1 PC. ONLY
357 G",SKU: PT21,"Refreshes the body, Cleanses heat toxins, Summer cooler, Aids digestion, Promotes weight loss.",Whole leaves Pu'er Tea,357 gms | 952 Cups,"Rs. 10,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT21_1000x.jpg?v=1609408027
160,Chinese Mengku Raw  Cake EXCLUSIVE-1 PC. ONLY                        250 G,SKU: PT02,"Contains anti-cancer properties, prevents stress and aids digestion, Lowers cholesterol, purifies blood.",Whole leaves Pu'er Tea,250 gms | 500 Cups,"Rs. 10,600 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT-02_1000x.jpg?v=1562843972
161,Chinese Bing Dao Raw  Cake- Platine   EXCLUSIVE-1 PC. ONLY                         200 G,SKU: PT01,"Lowers cholesterol, Blood purifier, Aids digestion and sleep, Carries anti-aging and anti-stress properties.",Whole leaves Pu'er Tea,200 gms | 500 Cups,"Rs.16,500 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT01_1000x.jpg?v=1609407920
162,Chinese Chrysanthemum Raw Tablet                          40 Pcs,SKU: PT17,"Relieves stress, Recommended for elderly, Helps regulate blood sugar level and cholesterol, Helps maintain a healthy stomach, Improves eyesight.",Whole leaves Pu'er Tea,40 pcs | 160 cups,"Rs.1,800 / Pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT17_1000x.jpg?v=1581415838
163,Sweet Anise                  100 G,SKU: BLD99,1. Packed with antioxidants 2. Good for joints 3. Good for eyes 4. Relieves stress 5. Prevents respiratory disorders 6. Relaxant,"Yellow Chrysanthemum petals, Star Anise",100 gms = 76 Cups,"Rs.1,600 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetAnise_1000x.jpg?v=1609228848
165,Chinese White Silver Needle Tea Cake                  200 G,SKU: BLD99,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,200 gms | 200 cups,"Rs. 12,500 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT-07_1000x.jpg?v=1562849188
166,Jive of Jasmine & Marigold Blooming Tea                     ,SKU: TBL09,"A floral enchantment of tender green tea leaves delicately wrapped with blooms of 1 Marigold and 5 Jasmine flowers masterfully tied together to create a blooming tea that delights all your senses.                Good for digestion, Good for Skin, Immunity, Relaxation, Relieves stress, Good for heart.",1 marigold + 5 Jasmines tied to Tender Green Leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_09_1000x.jpg?v=1615446322
167,Lily & Osmanthus Blooming Tea       10 pcs,SKU: TBL04,"Fine green tea leaves are delicately wrapped with fragrant blossoms of 1 Lily and Osmanthus flower petals to create a blooming tea. When the tea bloom is dropped in freshly boiled water, it â€œbloomsâ€",1 lily + osmanthus petals + green tea leaves,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_04_1000x.jpg?v=1615445937
168,"Organic Darjeeling FTGFOP 1 (Fine Tippy Golden Flowery Orange Pekoe , Grade 1)(Clonal) 2nd Flush Loose Leaf Black Tea Tin                       100 G",SKU: BT30,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT30-2_1000x.jpg?v=1623665066
169,Organic Soul of Darjeeling FTGFOP-1 (Fine Tippy Golden Flowery Orange Pekoe) First Flush- Platine Loose Leaf Black Tea Tin         100 G,SKU: BT17(B),"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT17_B_-1_1000x.jpg?v=1623664030
170,Full of Surprises Iced Tea Tin         30 pcs,SKU: IC08,"Reduces hypertension, Premature... 
               ",Organic Green Rooibos & Mint,30 pcs | 30 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-08-2_1000x.jpg?v=1640179195
