,title,price,image
0,Kehwa Leaves,"from Rs. 160.00
",//cdn.shopify.com/s/files/1/0272/8207/9816/products/Screen_Shot_2019-11-05_at_5.56.13_PM_180x.png?v=1608030475 180w 248h
1,Matamaal's Instant Kehwa Blend,"from Rs. 295.00
",//cdn.shopify.com/s/files/1/0272/8207/9816/products/Screenshot2021-06-05at7.30.45AM_180x.png?v=1640333386 180w 240h
2,Sheer Chai,"from Rs. 120.00
",//cdn.shopify.com/s/files/1/0272/8207/9816/products/Sheer_Chai_180x.jpg?v=1594731238 180w 180h
3,The Kehwa Collective - Gifting Edition,"Regular price
Rs. 890.00
Sale priceRs. 750.00

                Save Rs. 140.00
              ",//cdn.shopify.com/s/files/1/0272/8207/9816/products/IMG_1860.HEIC_180x.jpg?v=1639653883 180w 240h
4,Season's Harvest Saffron - Mongra,"Regular price
Rs. 450.00
Sale pricefrom Rs. 400.00

                Save Rs. 50.00
              ",//cdn.shopify.com/s/files/1/0272/8207/9816/products/Safron_2_180x.jpg?v=1628696595 180w 181h
5,Bronze (Kansa) Khos - Teacup,"Regular price
Rs. 640.00
Sale pricefrom Rs. 510.00

                Save Rs. 130.00
              ",//cdn.shopify.com/s/files/1/0272/8207/9816/products/Screen_Shot_2019-12-02_at_10.55.06_PM_8240d9a1-27fe-4975-a30d-80e51c4b51c8_180x.png?v=1625825402 180w 240h
6,Copper Samawar,"from Rs. 4,350.00
",//cdn.shopify.com/s/files/1/0272/8207/9816/products/DSC04064_1_180x.jpg?v=1607605504 180w 180h
7,Kashmiri Tea Collection,"Regular price
Rs. 590.00
Sale pricefrom Rs. 540.00

                Save Rs. 50.00
              ",//cdn.shopify.com/s/files/1/0272/8207/9816/products/42A8FD51-97B6-408A-82F2-818C0D241A4E_180x.jpg?v=1638956438 180w 180h
