,title,health,ingredients,weight,price,image
17,Vibrant Hibiscus,1. Rich in antioxidants 2. Packed with Vitamin C 3. Good for joints 4. Aids digestion 5. Protects liver 6. Lowers blood pressure 7. Cholesterol.,"Star Anise, Hibiscus, Cloves","Tea Tin, 100gms = 100cups",Rs.699,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/VibrantHibiscus_1000x.jpg?v=1597054250
18,Garden Mint and Rose,1. Improves digestion 2. Boosts respiratory health 3. Relieves stress 4. Improves immunity 5. Aids motion sickness 6. Good for menopause.,"Mint Leaves, French Pink Rose petals","Tea Tin, 50 gms = 34 cups",Rs.599,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Gardenmontnrose_1000x.jpg?v=1597919707
19,Lemongrassy Hibiscus,1. Good for the nervous system 2. Cholesterol control 3. Detoxification 4. Blood pressure 5. Blood-sugar levels 6. Packed with vitamin C 7. Carries anti-cancer properties 8. Aids weight loss 9. Boosts immune system.,"Hibiscus, Organic Lemongrass, Cinnamon","Tea Tin, 75 gms = 37 cups",Rs.699,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hibiscus_1000x.jpg?v=1597919921
20,"Houjicha, 150g","High in anti-oxidants, Good for the heart, Tooth decay, Promotes weight loss, Boasts immune system, Relaxant in nature, Prevents cancer.",Whole leave green tea,150 gms | 150 cups,"Rs.1,699",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT65_1000x.jpg?v=1612438584
21,Green Tea Stick (Pack of 99 individually wrapped tea stick),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole Leaves Green Tea,1 Stick  = 2 grams,"Rs.2,239",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Stick_2_0ed7deca-4fdd-491b-a8fe-8f793a1f57f7_1000x.jpg?v=1582618287
22,Citrusy & Spicy Nettle Remedy,,"Nettle leaves, Orange Peel, Cinnamon, Dry Ginger","Tea Tin, 50 gms = 25 cups",Rs.459,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nettle_1000x.jpg?v=1597919628
23,"Three Mini Around The World Green Teas, 3x25g",,,25g x 3 Teas,Rs.807,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Green_Tea_Contrywise_1000x.jpg?v=1580892607
24,"White Silver Needle Buds, 50g","Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,Rs.899,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_1000x.jpg?v=1618036637
25,"Organic Matcha, 100g","Boosts energy levels, Prevents diabetes, Bad breath, Eliminates drowsiness, Packed with anti-oxidants, Carries anti-aging properties, Reduces blood pressure, Aids weight loss.",Matcha Powder,100 gms | 34 cups,"Rs.1,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT54_54e7ef78-f496-45d5-9c4d-434884727c42_1000x.jpg?v=1612506270
26,"Sri Lankan BM Ceylon Loose Leaf Black Tea Tin, 150G","Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,150 gms | 99 cups,Rs.849,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT08_1000x.jpg?v=1613194314
27,"Organic Matcha, 50g","Boosts energy levels, Prevents diabetes, Bad breath, Body odour, Eliminates drowsiness, Packed with anti-oxidants, Carries anti-aging properties, Reduces blood pressure, Aids weight loss.",Matcha Powder,50 gms | 16 cups,"Rs.2,399",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC03087_1000x.jpg?v=1615201063
28,"Organic Sencha, 125g","High in anti-oxidants, Promotes anti-aging, Helps fight cancer, Lowers cholesterol, Helps in weight loss, Good for the heart, Rich in Vitamin C.",Whole leave green tea,125 gms | 93 cups,"Rs.1,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT59_516cfffc-d191-4d74-9099-77be9e1ffbb0_1000x.jpg?v=1612437314
29,"Organic Red Rooibos Herbal Tea, Mini Tin Sampler Pack -25g","Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.",,25 gms | 19 Cups,Rs.389,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01980-01-01_1000x.jpg?v=1585734106
30,Men in Black Tea Blend,"Good for heart, Oral and bone health, Blood circulation, Removes bodys toxins, Lowers cholesterol, Aids digestion, Aids weight loss, Boosts energy.","Organic Ceylon Black Tea, Kunming Black Tea, Organic Darjeeling Black Tea","Tea Pouch, 50 gms = 50 cups",Rs.550,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD84_1000x.png?v=1573888679
31,Olive Branch Tea Blend,"Aids cardiovascular health, Brain function, Prevents nausea, Relieves motion sickness, Stomach disorders, Good for skin, Hair and detox, Prevents insomnia.","Olive leaves, Lemongrass, French Lavender leaves, Mint","Tea Pouch, 50 gms = 34 cups",Rs.625,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD46_1000x.png?v=1573887920
32,"Kukicha, 100g","High in anti-oxidants, Calming, good for stomach, Skin and heart, Prevents cancer.",Whole leave green tea,100 gms | 100 cups,"Rs.1,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT66_1000x.jpg?v=1612438741
33,"Tie Guan Yin, 100g",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,100 gms = 132 cups,"Rs.1,249",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT16_1000x.jpg?v=1617853801
