,title,health,ingredients,weight,price,image
73,"Assam Phalap Pu'er Tea Jar, 100G","Aids digestion, Packed with anti-oxidants, Cancer fighter, Promotes weight loss, Lowers cholesterol, Relieves stress.",Whole leaves Pu'er Tea,100 gms | 124 cups,"Rs.1,049",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT23_1000x.jpg?v=1581405826
74,Heritage Spice,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger","Tea Tin, 75gms = 37 cups",Rs.599,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HeritageSpice_1000x.jpg?v=1597054028
75,Ayurveda Detox Tea Blend,"Promotes detoxification, Aids digestion, Improves immunity, Treats skin, Respiratory disorders, Lowers blood pressure, Cures menstrual disorders.","Coriander, Black Cumin, Fennel seeds","Tea Pouch, 50 gms = 25 cups",Rs.525,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD63_1000x.png?v=1573888322
76,"Organic Spring Matcha, 50g","Boosts energy levels, Prevents diabete, Bad breath, Eliminates drowsiness, Packed with anti-oxidants, Carries anti-aging properties, Reduces blood pressure, Aids weight loss.",Matcha Powder,50 gms | 16 cups,"Rs.2,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC03086_1000x.jpg?v=1615202408
77,"Chinese Jasmine & Lily Blooming Tea, 10 pcs","The mesmerizing scents of Jasmine and Lily are known, since centuries for their healing and uplifting properties. When infused with your tea; they offer a wonderful flavour, sweet aromatic scents along with several health benefits that relax your mind and body with serene therapy. Fine green tea leaves are intricately wrapped with delicate blossoms of 1 lily and 3 jasmine flowers.Blooming magicOur Jasmine and Lily blooms are delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.A therapeutic honey sweet taste with floral and vegetal flavours and aromas.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.",1 lily + 3 jasmines,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_01_1000x.jpg?v=1615444491
78,"Organic Darjeeling White Silver Needle buds - Platine Loose Tea Tin,  75G","Contains anti-oxidants, Regulates blood glucose, Promotes dental health, Aids digestion, Boosts immunity.",Whole leaves White Tea,75 gms | 57 cups,"Rs.2,149",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_1000x.jpg?v=1581416170
79,"Longjing, 100g","High in anti-oxidants, Lowers cholesterol, Prevents blood pressure, Good for diabetes, Weight loss, Anti-cancer.",Whole leave green tea,100 gms | 66 cups,"Rs.1,699",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/9_8c5e5ddc-00b7-4b4c-a702-eae9ca3962ec_1000x.jpg?v=1615297736
80,"Organic Deccan, 200g","Lowers cholesterol, Rich in anti-oxidants, Strengthens immune system, Aids weight loss.",Whole leave green tea,200 gms | 132 cups,Rs.899,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT40_dad3033f-2af6-4d5c-922a-07ae9f80c9c1_1000x.jpg?v=1612432748
81,"Flowering Glories Blooming Tea, 10pcs","A dainty floral experience in each brew, this stunning blooming tea is made of green tea leaves intricately wrapped with 1 Globeflower and 2 Trumpet Flower petals. Known to be a symbol of gratitude in traditional communities, Globe Flower is a bright flower with a signature floral scent. Paired with the captivating fragrances of Trumpet Flowers, this tea works magic to refresh your senses.Our Globeflower and Trumpet flower blooms are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesJuicy floral accents interlaced with gentle sweet hints.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for digestion, Lowers cholesterol level, Improves vision, Prevents bronchitis and hypertension.",1 globeflower +2 trumpet flower petals,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_13_1000x.jpg?v=1615446550
82,"Sri Lankan FBOP Ceylon Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,Rs.849,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT11_1000x.jpg?v=1581403231
83,"Chinese Classic Ripe Pu'er Tea Tablet, 40Pcs","Prevents cancer, Nourishes the stomach, Controls blood pressure, Promotes weight loss, Lowers cholesterol and great for womens health.",Whole leaves Pu'er Tea,40 pcs | 160 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT16_1000x.jpg?v=1581415625
84,Gut Feeling Tea Blend,"Relieves stomach disorders, Good for skin, Balances hormones, Prevents respiratory disorders, Enhances the immune system, Purifies blood.","Holy Basil (Tulsi), Bulgarian Red Rose Petals, Parsley","Tea Pouch, 50 gms = 34 cups",Rs.525,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD81_1000x.png?v=1573888644
85,"FTGFOP-1 Darjeeling Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,049",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT15_1000x.jpg?v=1623663405
86,"Minty Yerba Mate Tea Blend Pouch, 200g","Digestion, Increase in energy level, Good for antioxidents, Packed with Vitamin A,B1,B2,C & Calcium, Immune system.","Yerba mate, Mint",200 gms | 136 cups,"Rs.1,549",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD111_bd853f82-47a0-40e1-9d21-616011dfaf8a_1000x.jpg?v=1581152805
87,Exotic Green Jasmine,1. Good for relaxation 2. Improves brain function 3. Dental health 4. Lowers diabetes 5. Rich in antioxidants 6. Improves cardiovascular health 7. Good for eyes.,"Jasmine Tea, Yellow Chrysanthemum petals, Chaoqing Green Tea","Tea Tin, 75 gms = 75 cups",Rs.899,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/ExoticGreen_1000x.jpg?v=1597930954
88,White Lemongrass Romance,1. Packed with antioxidants 2. Removes toxins 3. Good for the nervous system 4. Eyes 5. Lowers cholesterol 6. Promotes detoxification 7. Possesses anti-anxiety 8. Anti-aging properties.,"Organic White Bai Mudan leaves, Jammu Lemongrass, Yellow Chrysanthemum petals","Tea Tin, 50 gms = 50 cups",Rs.799,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLemongrass_1000x.jpg?v=1597920269
89,"Two Mini Famous Sri Lankan Black Teas, 2x25g",,,25g x 2 Teas,Rs.588,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT08_BT09_1000x.jpg?v=1581499582
90,"Mini Taiwanese High Mountain Oolong Teas, 3x25g",,,25g x 3 Teas,"Rs.1,497",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT09_06_07_1000x.jpg?v=1580904784
91,"Six Mini Favorite Japanese Green Teas, 6x25g",,,25g x 6 Teas,"Rs.2,504",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Set_of_6_Japanese_Tea_1000x.jpg?v=1580891176
92,All-Season Tea Blend,"Controls hormonal imbalance, Mood swings, Aids digestion, Good for nervous system, Lowers cholesterol, Promotes detoxification, Prevents insomnia, Reduces arthritis, Fights against cancer, Fights against diabetes.","Organic Moringa, Lemongrass, Ashwagandha, Dry Ginger","Tea Pouch, 50 gms = 25 cups",Rs.550,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD106_1000x.png?v=1573889016
93,Spice It Up,1. Rich in antioxidants 2. Regulates blood sugar levels 3. Aids weight loss 4. Boosts immune system 5. Clears cough and common cold 6. Fights against cancer,"Star Anise, Cloves, Black Pepper, Cardamom, Cinnamon","Tea Tin, 100gms = 76 cups",Rs.799,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Spiceitup_1000x.jpg?v=1597053361
94,"The Healer loose tea leaf blend pouch, 150G","Packed with anti-oxidants, Improves brain function, Dental health, Promotes weight loss, Good for digestion, Improves energy levels, Regulates menstrual cycle.","Chaoqing Green Tea, Star Anise",150 gms | 150 cups,"Rs.1,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD33_1000x.jpg?v=1609228044
95,Sweet Green Getaway,1. Packed with antioxidants 2. Improves brain function 3. Dental health 4. Lowers type 2 diabetes 5. Replenishes fever 6. Prevents respiratory disorders 7. Good for eyes 8. Is a natural stress buster.,Chaoqing Green Tea and Yellow Chrysanthemum petals,"Tea Tin, 75 gms = 75 cups",Rs.699,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetGreenGetaway_1000x.jpg?v=1597920441
96,Song of Silence Tea Blend,"Packed with anti-oxidants, Promotes relaxation, Prevents digestive issues, Detoxifies body, Improves brain function, Dental health, Good for insomnia.","Chaoqing Green Tea, French Lavender buds","Tea Pouch, 50 gms = 50 cups",Rs.725,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD12_1000x.png?v=1573886879
97,"Organic Sencha, 100g","High in anti-oxidants, Helps fight cancer, Lowers cholesterol, Helps in weight loss, Good for the heart, Rich in Vitamin C.",Whole leave green tea,100 gms | 100 cups,"Rs.1,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT61_bed39dd5-53c3-45eb-87da-7fd03f080402_1000x.jpg?v=1612437830
98,"Yunnan, 100g","Controls cholesterol, Tooth decay, Good for the heart, Digestion, high on anti-oxidants, Keeps bacteria, Viruses at bay, Aids weight loss,",Whole leave green tea,100 gms | 100 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT22_f94eef97-8149-417d-8472-2942b4d82b64_1000x.jpg?v=1612426384
99,Alishan High Mountain 50G,May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,50 gms = 83 cups,"Rs.1,949",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT08-3_1000x.jpg?v=1622539575
100,"Spring Tie Guan Yin, 100g",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,100 gms = 166 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT01_1000x.jpg?v=1617853364
101,"Indian Tulsi Herbal Loose Leaf Tea Tin, 100G","Helps fight acne, Controls diabetes, Balances hormones, Improves respiratory disorders, Dental health.",Whole leaves Herbal Tea,100 gms | 66 cups,Rs.949,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT09_41c1f264-75aa-4be3-a2a2-a0e2b97f5cf7_1000x.jpg?v=1581402915
102,From Now To Forever,,,Gift Box,"Rs.2,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box1_1_1000x.jpg?v=1611810793
103,"Two Mini Mood Uplifting Jasmine Teas, 2x25g",,,25g x 2 Teas,Rs.758,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_1000x.jpg?v=1581505327
104,"Chinese Chrysanthemum Ripe Pu'er Tea Tablet, 40Pcs","Relieves stress, Recommended for elderly, Helps regulate blood sugar level and cholesterol, Helps maintain a healthy stomach, Improves eyesight.",Whole leaves Pu'er Tea,40 pcs | 160 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT18_1000x.jpg?v=1581415925
105,Dance Of Spices,1. Rich in antioxidants 2. Prevents sleep disorders 3. Aids weight loss 4. Boosts immune system 5. Improves heart functions 6. Clears common cold,"Star Anise, Cardamom, Cinnamon","Tea Tin, 75gms = 37 cups",Rs.599,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DanceOfSpice_1000x.jpg?v=1597053397
106,"Darjeeling Classic, 75G",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,75 gms = 100 cups,"Rs.2,129",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT12-1_1000x.jpg?v=1617856752
107,"Chinese Chrysanthemum Trio Blooming Tea, 10pcs","Dive into the golden wonders of Chrysanthemum with this decorative blooming tea where tender green tea leaves are carefully tied with delicate blooms of 3 chrysanthemum flowers. Ancient communities have been using Chrysanthemum since centuries for its cooling properties, known to calm tense nerves, and also relieve cold and fevers.Our mystical Chrysanthemum blooms are delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesOrnamental floral fragrances circle with a mild ,flavour and a beautiful, versatile depth.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs = 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for eyes, Skin care,Good for Heart, Immune system and metabolism.",3 chrysanthemums,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_02_1000x.jpg?v=1615445735
108,"You Go, Girl",,,Tea care package,"Rs.3,449",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_10_1000x.jpg?v=1617894017
109,"You Are My Sunshine Gift Set, 3X25G",,,25g x 3 Teas,"Rs.1,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01983-01_1000x.jpg?v=1585738324
110,"Three Mini White Silver Needle Bud Teas, 3x15g",,,15g x 3 Teas,"Rs.1,397",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_08_A_08_B_1000x.jpg?v=1581498554
111,Girl's Best Friend Tea Blend,"Improves memory, Liver health, Nervous system, Promotes detoxification, Prevents insomnia, Good for skin, Menopause, Digestion.","French Pink Rose petals , Lemongrass, Rosemary leaves,","Tea Pouch, 50 gms = 34 cups",Rs.550,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD36_1000x.png?v=1573887657
112,The Rooibos Moringa Chamomile Tea Blend,"Controls hormonal imbalance, Mood swing, Aids digestion, Relieves stress, Fights depression, Menstrual spasms, Anti-aging, Improves heart health.","Organic Rooibos, Organic Moringa leaves, Dry Chamomile flower",200 gms | 200 cups,Rs.999,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD108_2_1000x.jpg?v=1630316784
113,"Autumn Tie Guan Yin, 75G",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,75 gms = 99 cups,"Rs.1,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT02_1000x.jpg?v=1617853607
114,Black Matcha Tea Set,,,Black,"Rs.9,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/MTS02-1_1000x.jpg?v=1562938185
115,"Chinese Handpicked Yellow Chrysanthemum Flower Tea Packet, 50pcs","Cooling effect on body, Good for sunstroke, Heart and eyes, Contributes to skin glow, Blood cleansing, High in anti-oxidants.",Whole Flowers,50 pcs | 150 cups,"Rs.2,149",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/FT22_b19c7076-fe3b-4c9c-acb5-bb7739708000_1000x.jpg?v=1581147472
116,"Two Mini Class Chinese Green Tea, 2x25g",,,,Rs.798,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT01_09_1000x.jpg?v=1580895223
117,"Three Mini Classic Chinese Green Teas, 3x25g",,,,"Rs.1,247",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT01_21_09_1000x.jpg?v=1580893276
118,Mixiang Pu'er Cake Raw Tea (200 gms),"Prevents cancer, Heatstroke and toothache, Helps detox body and digestion, Lowers cholesterol and aids weight loss.",Whole leaves Pu'er Tea,200 gms | 266 Cups,"Rs.1,649",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT03_1000x.jpg?v=1609407983
119,Secret Spice,1.Good for motion sickness 2. Asthma 3. Menstrual discomfort 4. Relieves stress 5. Good for joints 6. Prevents sleep disorders,"Ashwagandha, Ginger, Star Anise","Tea Tin, 100gms = 50 cups",Rs.699,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SecertSpice_1000x.jpg?v=1597053609
120,Black Rose Love,"1. Good for cardiovascular 2. Oral, bone and skin health 3. Anti-aging 4. Blood circulation 5. Menopause 6. Liver health 7. Carries anti-anxiety properties.","Organic Golden Needle buds, French Pink Rose buds","Tea Pouch, 75 gms | 99 cups","Rs.1,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BlackRoseLove_1000x.jpg?v=1597054161
121,"Love at First Sight Loose Leaf Tea Blend Tin, 75G","Good relaxant, Carries anti-oxidants, Anti-stress, Anti-aging properties, Controls diabetes, Promotes weight loss, Prevents digestive issues, Sleep disorders, Detoxifies body.","Organic White Silver Needle buds, French Lavender buds",75 gms | 99 cups,"Rs.1,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD17_1000x.jpg?v=1581404088
122,Midnight Minty Rooibos Tea Blend,"Reduces hypertension, Premature aging, Improves cardio-vascular health, Good for hair, Reduces nausea, Cures muscle pain, Detoxifies the body, Boosts immune system, Aids weight loss.","Organic Rooibos, Peppermint, Ginger mint",200 gms | 200 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD21_2_1000x.jpg?v=1630315832
123,"Indian Organic White Bai Mudan - Platine Loose Leaf Tea, 75G","Packed with anti-oxidants, Anti-aging properties, Good for skin, Weight loss, Anti-bacterial.",Whole leaves White Tea,75 gms | 75 cups,"Rs.1,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT04_1000x.jpg?v=1618036763
124,"Spring Organic Sencha, 100g","High in anti-oxidants, Promotes anti-aging, Helps fight cancer, Lowers cholesterol, Helps in weight loss, Good for the heart, Rich in Vitamin C.",Whole leave green tea,100 gms | 75 cups,"Rs.1,699",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT52_ab7f18e4-4c64-4888-ac9f-4bbd7fe46926_1000x.jpg?v=1612436353
125,"Bi Luo Chun, 100g","Good for cardiovascular health, Aids weight loss,, Digestion, Dental health, Improves bone density",Whole leave green tea,100 gms = 100 cups,Rs.999,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT05_ad3b326e-ec89-4bc5-896c-0643cb580e88_1000x.jpg?v=1612351889
126,I am here for you,,,,"Rs.2,499",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Care_2_1000x.jpg?v=1626066246
127,"Two Mini Relaxing Jasmine Teas, 2x25g",,,25g x 2 Teas,Rs.758,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_03_1000x.jpg?v=1581505803
128,"Three Mini Classic Japanese Green Teas, 3x25g",,,25g x 3 Teas,"Rs.1,207",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT59_57_06_1000x.jpg?v=1580900049
129,Jasmine Tea - Argent + Stay Beautiful Tin,:,,15 gms | 1 Mini Tin,Rs.459,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Stay_Beautiful-2_1000x.jpg?v=1575093980
130,"Chinese Rose Pu'er Tea Tablet Tin, 40Pcs","Promotes anti-aging, Controls blood pressure and cholesterol, Good for digestion, Burns fat.",Whole leaves Pu'er Tea,40 pcs | 160 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/PT14_1000x.jpg?v=1581415472
131,Rosy Star Tisane,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger","Tea Pouch, 75 gms = 57 Cups",Rs.999,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Rosystar_1000x.jpg?v=1609227309
132,The Rare Green Rooibos Herbal Tea,"Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.",,200 gms | 152 cups,"Rs.1,799",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT05_3_1000x.jpg?v=1630317142
133,Rosy Rooibos Glow Tea Blend,"Carries anti-aging, Anti-anxiety properties, Good for menopause, liver health, Hair and skin, Boosts immune system, Reduces hypertension, Improves cardio-vascular health.","Organic Rooibos, French Pink Rose petals, Bulgarian Red Rose petals",200 gms | 136 cups,"Rs.1,299",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD22_2_1000x.jpg?v=1630315919
134,Jasmine Snowflakes Tea,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity, has calming effect.",Whole leaves Jasmine Tea,75 gms | 99 cups,"Rs.1,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC09882_1000x.jpg?v=1633933028
135,"Organic Gyokuro, 50g","High in anti-oxidants, Good for the heart, Aids weight loss, Good for the stomach, Controls blood pressure, Relaxant.",Whole leave green tea,50 gms | 32 cups,"Rs.1,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT64_1000x.jpg?v=1612438413
136,"Organic Tamaryokucha, 50g","High in anti-oxidants, Good for heart, Blood pressure, Weight loss, Promotes anti-aging.",Whole leave green tea,50 gms | 62 cups,"Rs.2,599",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT55_1000x.jpg?v=1612436626
137,"Contrast Bloom Blooming Tea, 10pcs","It is never a dull day with mesmerizing aromas as 1 each of Marigold, Jasmine and Globe Amaranth flowers brew in your glass to offer a soothing and aromatic experience. Unbox this blooming tea when you seek calming rejuvenation!Our elegant blooms of Marigold, Jasmine and Globe Amaranth, are delicately hand woven with care, and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesMild yet intoxicating floral and fruity flavours.Multiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for digestion Good for Eyes, Relieves stress, Lowers cholesterol level, Packed with anti-oxidants.",1 marigold+ 1 jasmine + 1 Gomphrena globosa,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_15_60bc559d-e273-41f0-a0c3-0b03b82f17eb_1000x.jpg?v=1615446681
138,"Bloom of Three Blooming Tea, 10pcs","A fascinating blooming tea with uplifting aromas and a repertoire of meadowy fragrances, this blooming tea is a refreshing view on its own. Fine green tea leaves are intricately wrapped with delicate blossoms of 1 Chrysanthemum, Jasmine and Lily flower petals to delicately caress your senses. The alluring blooms of our Chrysanthemum, Jasmine and Lily flowers, are delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower. Taste NotesA smooth and sweet flavour with delicate hints of floral extravaganceMultiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 cups of teaWe recommend returning to any used tea leaves within the day.Good for eyes, Good for Heart, Good for Immune system, Metabolism, Relaxation, Weight loss, Relieves stress.",1 chrysanthemum + jasmine petals + lily petals,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_08_1000x.jpg?v=1615446272
139,"Treat for eyes Blooming Tea, 10pcs","An elegant celebration in your glass, this extraordinary blooming tea includes precious green tea leaves intricately wrapped with 1 Marigold, 1 Jasmine and Globe Amaranth flowers. While the soothing fragrances of Marigold and Jasmine refresh your senses, Gomphrena Globosa, commonly known as Globe Amaranth holds your attention with its panoramic spring-time bloom!Ever witnessed a tea so pleasing to look at that you don't feel like drinking it? This blooming tea is just that. The floral delights of our Marigold, Jasmine and Globe Amaranth, are delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses. When the tea bloom is dropped in freshly boiled water, it “blooms” magically in your teapot or glass like a flower.Taste NotesA refreshing wave of sweet and floral delightMultiple InfusionsDon't throw away your tea after steeping it! One of the greatest advantage of drinking whole leaf tea is that each serving of leaves can be re-steeped many times.This tea can be re-steeped 3 times. We recommend using 1 Piece of this whole leaf tea for 150ml of water10 Pcs= 30 Cups of teaWe recommend returning to any used tea leaves within the day.Good for digestion, Good for Skin, Relieves stress, Good for Relaxation, Lowers cholesterol level, Packed with anti-oxidants.",1 marigold + 1 Jasmine + gomphrena globosa,10 pcs | 30 cups,"Rs.1,199",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_07_1000x.jpg?v=1615446238
140,"Sri Lankan Orange Pekoe Op 1 Ceylon loose leaf Black tea pouch, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,Rs.949,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT10_1000x.jpg?v=1581335515
141,"Sri Lankan FBOPF EX SP Ceylon loose Leaf Black Tea Tin, 100G","Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,149",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT06_1000x.jpg?v=1581329596
142,You are a blessing,,,,"Rs.1,999",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Care_5_1000x.jpg?v=1626097812
143,Get Brewing,,,Tea Care Packages,"Rs.2,047",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/23_ba6dd048-e2c4-465b-9d04-1c172107983f_1000x.jpg?v=1581677076
144,Fit Tea Care Package,,,Tea Care Packages,"Rs.3,147",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/4_1cb10121-98d2-40bf-9aab-68f7943e3a6d_1000x.jpg?v=1581596391
145,"Three Mini Most Aromatic Jasmine Teas, 3x25g",,,25g x 3 Teas,"Rs.1,137",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_03_1000x.jpg?v=1581504901
146,"Three Mini Bring Joy To Your Gut Green Teas, 3x25g",,,25g x 3 Teas,"Rs.1,097",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_48_23_1000x.jpg?v=1580898875
147,"Green Revolution Tea Blend Pouch, 150g","Packed with anti-oxidants, Aids weight loss, Improves brain function, Lowers cholesterol, Balances hormones, Prevents respiratory disorders, Good for digestion.","Green Tea, Holy Basil (Tulsi), Organic Lemongrass",150 gms | 102 cups,"Rs.1,349",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD80_1000x.jpg?v=1581149617
