,title,health,ingredients,weight,price,image,,,,
61,Tea Temptations  Tea Care Package   2 x 25g,"Packed with anti-oxidants, Good for weight loss, Anti-aging, Detox, Cholesterol control, Lowering blood pressure, Purifies blood, Relieves stress, Has a calming effect on mind and body, Boosts immunity","25G Anji White Green Tea, 25G Dooars Green Tea, (300ml Double Walled Glass Tea Infuser","25g x 2 Teas, 1Tea infuser Care","Rs. 2,100 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/17_c827033a-2f7a-4eed-8fbb-1a3fc7eb8e81_1000x.jpg?v=1581674597,,,,
62,Three Mini Around The World Black Teas                       3 x 25g,"Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss, Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health,","25g  Ceylon Black Tea, 25g Organic Darjeeling 2nd  Flush Black Tea, 25g Chinese Yunnan Black Tea, known as Mocha of tea",25g x 3 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT01_08_25_A_1000x.jpg?v=1581499046,,,,
63,Bombay Spiced Chai Tea Tin                100G,"Good for menopause, Promotes liver health, Carries anti-anxiety, Anti-aging properties, Improves memory, Helps fight cancer.","Star Anise, Cloves, Cardamom, Cinnamon",100 gms = 100 Cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Bombayspicedtea_1000x.jpg?v=1609227854,,,,
64,"Infinity Pool Loose Leaf Tea Blend Tin, 150G","Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care.","Hibiscus, Orange Peel, Rosehip",150 gms | 75 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD57_1000x.jpg?v=1609227545,,,,
65,Three Mini Around the World Oolong Teas               3x25g,"May Help Manage Stress, Loose Weight, Prevent Diabetes, Improve Heart Health and Brain Function, Lower Cholesterol, Promotes Tooth and Bone Strength
","25g  Darjeeling Oolong Loose Leaf,  25g  Chinese Tie Guan Yin Oolong Spring- Argent Loose Leaf, 25g Classic Taiwanese Argent Loose Leaf Oolong Tea",25g x 3 Teas,"Rs.1,400 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT01_06_11_1000x.jpg?v=1580902608,,,,
66,Assamese Organic Smoky                150g,"Good for lungs, Clears chest congestion, Controls cholesterol levels, Promotes cardiovascular health, Packed with anti-oxidants.",Whole leave green tea,150 gms | 150 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/GT39_7c523ca8-20dc-4423-a892-f97ea260deb5_1000x.jpg?v=1612432580,,,,
67,Sri Lankan Organic Orange Pekoe Loose Leaf Black Tea Tin             100G,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT09_1000x.jpg?v=1581416346,,,,
68,Vibrant As You Gift Box                             ,"Has anti-oxidant, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertensionPacked with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","15g Organic Red Rooibos Loose Leaf Herbal Tea, 15g Chinese Jasmine Argent Tea, 15g Tasty Irani Chai, 1pc (350 ml) Bone China Tea & Coffee Mug with Infuser & Lid",3x15g Teas,"Rs. 2,600 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box_18_1000x.jpg?v=1617893708,,,,
69,Symphony In Every Sip,"Purifies blood, Relieves stress, Has a calming effect on mind and body, Promotes anti-aging, Good for heart, Boosts immunity , good for weight loss, Anti-aging, Detox, Cholesterol control, Lowering blood pressure.","25g of Dooars Green Tea, 25g of Anji White Green Tea,1 Spiritual Fantasy Candle, 1Bone China Blue Marble Finish Mug",,"Rs. 2,800 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/15_a11a5964-da89-4447-8316-7d4c1045fa2c_800x.jpg?v=1581681292,,,"1 piece of our Symphony in Every Sip, Bone China Blue Marble Finish Mug (300ml) - (MU12)","1 piece of our Symphony in Every Sip, Bone China Blue Marble Finish Mug (300ml) - (MU12)"
70,Nanis(Grandmas )Herbal Chai                    100G,1. Rich in antioxidants 2. Good for cough and cold 3. Good for joints 4. Good for nervous system 5. Prevents sleep disorders 6. Aids digestion 7. Boosts energy 8. Promotes detoxification 9. Weight loss.,"Black Ginger, Long Pepper, Clove, Star Anise, Lemongrass","Tea Tin, 100 gms = 76 Cups","Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nani_sSpecial_1000x.jpg?v=1609228651,,,,
71,Blooming Love  Tea   10 pcs,"Good for immune system, Cardiovascular health, Digestion, Cholesterol control, Packed with anti-oxidants.",Each bloom is made of 1 Gomphrena Globosa +2 Camellia tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,550 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_17_1000x.jpg?v=1615446821,,,,
72,"Sri Lankan Orange Pekoe 1 Ceylon Spring Loose Leaf Black Tea Tin, 150G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 99 cups,"Rs. 1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT12_1000x.jpg?v=1581403303,,,,
73,Heritage Spice               75G,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger","Tea Tin, 75gms = 37 cups",Rs. 780 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HeritageSpice_1000x.jpg?v=1597054028,,,,
74,"Flowering Glories Blooming Tea, 10 pcs","Trumpet Flower is known to be a symbol of gratitude. Good for digestion, Lowers cholesterol level, Improves vision, Prevents bronchitis and hypertension.",1 globeflower +2 trumpet flower petals tied to tender green tea leaves,10 pcs | 30 cups,"Rs.1,570 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_13_1000x.jpg?v=1615446550,,,,
75,"Sri Lankan Ceylon Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,100 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT11_1000x.jpg?v=1581403231,,,,
76,Gut Feeling Tea Blend                           50G,"Relieves stomach disorders, Good for skin, Balances hormones, Prevents respiratory disorders, Enhances the immune system, Purifies blood.","Indian Holy Basil (Tulsi), Bulgarian Red Rose Petals, Parsley","Tea Pouch, 50 gms = 34 cups",Rs.720 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD81_1000x.png?v=1573888644,,,,
77,"Darjeeling FTGFOP 1 (Fine Tippy Golden Flowery Orange Pekoe, Grade-1) Loose Leaf Black Tea Tin, 200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs.1,400 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT15_1000x.jpg?v=1623663405,,,,
78,Two Mini Famous Sri Lankan Black Teas                       2 x 25g,"Anti-oxidant, Good for cholesterol, Heart health, Weight loss, Stress relief","25g  Sri Lankan Ceylon Black Tea, 25g  Sri Lankan Organic Orange Pekoe Ceylon Black Tea",25g x 2 Teas,Rs. 800 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT08_BT09_1000x.jpg?v=1581499582,,,,
79,All-Season Tea Blend                          50 G,"Controls hormonal imbalance, Mood swings, Aids digestion, Good for nervous system, Lowers cholesterol, Promotes detoxification, Prevents insomnia, Reduces arthritis, Fights against cancer, Fights against diabetes.","Organic Moringa, Lemongrass, Ashwagandha, Dry Ginger",50 gms = 25 cups,Rs. 715 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD106_1000x.png?v=1573889016,,,,
80,Spice It Up               100G,1. Rich in antioxidants 2. Regulates blood sugar levels 3. Aids weight loss 4. Boosts immune system 5. Clears cough and common cold 6. Fights against cancer,"Star Anise, Cloves, Black Pepper, Cardamom, Cinnamon",100gms = 76 cups,"Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Spiceitup_1000x.jpg?v=1597053361,,,,
81,The Healer Loose Tea Leaf Blend Pouch              150G,"Packed with anti-oxidants, Improves brain function, Dental health, Promotes weight loss, Good for digestion, Improves energy levels, Regulates menstrual cycle.","Chaoqing Green Tea, Star Anise",150 gms | 150 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD33_1000x.jpg?v=1609228044,,,,
82,Sweet Green Getaway                    75G,1. Packed with antioxidants 2. Improves brain function 3. Dental health 4. Lowers type 2 diabetes 5. Replenishes fever 6. Prevents respiratory disorders 7. Good for eyes 8. Is a natural stress buster.,Chaoqing Green Tea and Yellow Chrysanthemum petals,75 gms = 75 cups,Rs. 950 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/SweetGreenGetaway_1000x.jpg?v=1597920441,,,,
83,From Now To Forever,"Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.","50G Rosemary & Bulgarian Rose Duet Tea Blend, 1 candle, 1 Mug",Gift Box,"Rs. 3,400 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box1_1_1000x.jpg?v=1611810793,,,,
84,Two Mini Mood Uplifting Jasmine Teas                       2 x 25g,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","25g Indian Organic Jasmine Black Tea with Darjeeling Black Tea, 25g  Chinese Jasmine Argent Tea",25g x 2 Teas,"Rs.1,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_1000x.jpg?v=1581505327,,,,
85,Dance Of Spices       75G,1. Rich in antioxidants 2. Prevents sleep disorders 3. Aids weight loss 4. Boosts immune system 5. Improves heart functions 6. Clears common cold,"Star Anise, Cardamom, Cinnamon",75 gms = 37 cups,Rs. 800 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DanceOfSpice_1000x.jpg?v=1597053397,,,,
86,"Darjeeling Classic, 75G",May Help Manage Stress May Help You Loose Weight May Help Prevent Diabetes May Improve Heart Health May Improve Brain Function May Protect Against Certain Cancers Promotes Tooth and Bone Strength May Help Lower Cholesterol,Whole leaves Oolong Tea,75 gms = 100 cups,"Rs. 2,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/OT12-1_1000x.jpg?v=1617856752,,,,
87,"You Are My Sunshine Gift Set,   3 x 25g","Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","25g Organic Jasmine Darjeeling Black Tea, 25g Jasmine Argent Tea, 25g Santa Jasmine Tea",25g x 3 Teas,"Rs.1,700 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01983-01_1000x.jpg?v=1585738324,,,,
88,Three Mini White Silver Needle Bud Teas                       3 x 15g," Boosts immunity, Weight loss, Relaxation, Aids digestion.Packed with anti-oxidants","15g Darjeeling Platine, 15g Fujian Small Bud, 15g Fujian Big Bud",15g x 3 Teas,"Rs.1,850 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT02_08_A_08_B_1000x.jpg?v=1581498554,,,,
89,Girl's Best Friend Tea Blend          100G,"Improves memory, Liver health, Nervous system, Promotes detoxification, Prevents insomnia, Good for skin, Menopause, Digestion.","French Pink Rose petals , Lemongrass, Rosemary leaves,",50 gms = 34 cups,Rs. 750 / pouch,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD36_1000x.png?v=1573887657,,,,
90,Black Rose Love          75G,"1. Good for cardiovascular 2. Oral, bone and skin health 3. Anti-aging 4. Blood circulation 5. Menopause 6. Liver health 7. Carries anti-anxiety properties.","Organic Golden Needle buds, French Pink Rose buds",75 gms | 99 cups,"Rs. 2,000 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BlackRoseLove_1000x.jpg?v=1597054161,,,,
91,Love at First Sight Loose Leaf Tea Blend Tin             75 G,"Good relaxant, Carries anti-oxidants, Anti-stress, Anti-aging properties, Controls diabetes, Promotes weight loss, Prevents digestive issues, Sleep disorders, Detoxifies body.","Organic White Silver Needle buds, French Lavender buds",75 gms | 99 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD17_1000x.jpg?v=1581404088,,,,
92,"Two Mini Relaxing Jasmine Teas,            2 x 25g",Mood lifting,"25g INDIAN ORGANIC Tea,  25g CHINESE SANHUA Tea",25g x 2 Teas,"Rs. 1,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_03_1000x.jpg?v=1581505803,,,,
93,Jasmine Tea - Argent + Stay Beautiful Tin                    15G,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect",Jasmine Tea - Argent,15 gms | 1 Mini Tin,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Stay_Beautiful-2_1000x.jpg?v=1575093980,,,,
94,Rosy Star Tisane         75G,1. Promotes detoxification 2. Relieves stress 3. Fights against diabetes 4. Reduces arthritis 5. Asthma 6. Good for motion sickness 7. Menstrual discomfort 8. Aids kidney function 9. Treats stomach disorders.,"Ashwagandha, Nettles Root, Ginger",75 gms = 57 Cups,"Rs.1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Rosystar_1000x.jpg?v=1609227309,,,,
95,The Rare Green Rooibos Herbal Tea   200G,"Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.","A rare herbal tea, grown only in Western Cape Province in South Africa.",200 gms | 152 cups,"Rs. 2,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT05_3_1000x.jpg?v=1630317142,,,,
96,Rosy Rooibos Glow Tea Blend                      200G,"Carries anti-aging, Anti-anxiety properties, Good for menopause, liver health, Hair and skin, Boosts immune system, Reduces hypertension, Improves cardio-vascular health.","Organic Rooibos, French Pink Rose petals, Bulgarian Red Rose petals",200 gms | 136 cups,"Rs.1,700 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD22_2_1000x.jpg?v=1630315919,,,,
97,"Contrast Bloom Blooming Tea, 10pcs","Marigold, Jasmine and Globe Amaranth flowers offer a soothing and aromatic experience. Good for digestion Good for Eyes, Relieves stress, Lowers cholesterol level, Packed with anti-oxidants.",1 marigold+ 1 jasmine + 1 Gomphrena globosa tied to make 1 bloom,10 pcs | 30 cups,"Rs.1, 600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_15_60bc559d-e273-41f0-a0c3-0b03b82f17eb_1000x.jpg?v=1615446681,,,,
98,"Bloom of Three Blooming Tea, 10pcs","Chrysanthemum, Jasmine and Lily flower petals intricately wrapped with fine green tea leaves and masterfully tied to make each bloom that  delicately caress your senses..Good for eyes, Good for Heart, Good for Immune system, Metabolism, Relaxation, Weight loss, Relieves stress.","Intricate blossoms of 1 chrysanthemum,   jasmine & lily petals",10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_08_1000x.jpg?v=1615446272,,,,
99,"Treat for eyes Blooming Tea, 10pcs","1 Marigold, 1 Jasmine and Globe Amaranth flowers. delicately hand woven with care and masterfully tied together with tender green tea leaves to create a blooming tea that delights all your senses.Tea bloom when dropped in freshly boiled water, it â€œbloomsâ€",1 marigold + 1 Jasmine + gomphrena globosa,10 pcs | 30 cups,"Rs.1,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_07_1000x.jpg?v=1615446238,,,,
100,"Sri Lankan Orange Pekoe OP1 ( first quality, fine grade) Ceylon Loose Leaf Black Tea Pouch     200G","Packed with anti-oxidants, Good for cholesterol, Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,200 gms | 132 cups,"Rs. 1,300 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT10_1000x.jpg?v=1581335515,,,,
101,"Sri Lankan FBOPF EX SP ( Extra Special Flowery Broken Orange Pekoe) Ceylon loose Leaf Black Tea Tin, 100G","Good for cholesterol, Cardiovascular health, Stress relief, Boosts weight loss.",Whole leaves Black Tea,100 gms | 66 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT06_1000x.jpg?v=1581329596,,,,
102,You Are A Blessing Gift Care Pack       3 x 25g,"Controls cholesterol, Tooth decay, Good for the heart, Digestion, high on anti-oxidants, Keeps bacteria, Viruses at bay, Aids weight loss.","25g Yunnan Green Tea, 25g Chinese Jasmine Tea, 25g Classic Taiwanese Oolong Tea, 350ml Mug, with Infuser & Lid",Tea Care Package   3 x 25g Tea tins,"Rs. 2,600 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Care_5_1000x.jpg?v=1626097812,,,,
103,Get Brewing Gift Box                              2 x 25g,"Anti-oxidant, Lowers cholesterol and blood pressure, Good for heart, dental health, Promotes detoxification and weight loss. ","300 ml Double Walled Glass Tea Infuser, 25g Simao Green Tea, 25 grams  Cloudy Fragrance Green Tea",Tea Care Package    2 x 25G Tea Tins,"Rs.2,500 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/23_ba6dd048-e2c4-465b-9d04-1c172107983f_1000x.jpg?v=1581677076,,,,
104,Fit Tea Care Package                        2 x 25g,"Packed with anti-oxidant.Purifies blood, Relieves stress, Has a calming effect on mind and body, Promotes anti-aging, Packed with anti-oxidants, Good for heart, lungs, Clears chest congestion. Boosts immunity.","25g Organic Smoky Green Whole Leaf GreenTea, 25g Anji White Whole Leaf Green Tea, 320ml Mug,Â 1 Candle",Tea Care Package      2 x 25G Tea Tins,"Rs.3,400 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/4_1cb10121-98d2-40bf-9aab-68f7943e3a6d_1000x.jpg?v=1581596391,,,,
105,Three Mini Most Aromatic Jasmine Teas                        3 x 25g,"Anti-oxidant, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect.","25g Chinese Sanhua  Argent Jasmine Tea, 25g  Chinese Jasmine Argent Tea, 25g  Indian Organic Jasmine Black Tea",25g x 3 Teas,"Rs.1,500 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/JT06_02_03_1000x.jpg?v=1581504901,,,,
106,"Green Revolution Tea Blend Pouch, 150g","Packed with anti-oxidants, Aids weight loss, Improves brain function, Lowers cholesterol, Balances hormones, Prevents respiratory disorders, Good for digestion.","Green Tea, Indian Holy Basil, Organic Lemongrass",150 gms | 102 cups,"Rs.1,850 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD80_1000x.jpg?v=1581149617,,,,
107,Root Therapy Tea Blend                        50G,"Improves sleep disorders and memory, Eases heart burn, Prevents stomach disorders, Promotes relaxation, lowers blood pressure.","Valerian Root, Licorice Root, Gingko Biloba",50 gms = 25 cups,"Rs.1,050 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD79_1000x.png?v=1573888569,,,,
108,Kiss Of Mint Loose Leaf Tea Blend pouch                 200G,"Improves brain function, Dental health, Aids weight loss, Prevents nausea, Relieves motion sickness, Good for skin, Hair, Digestion.","Chunmee Green Tea, Peppermint, Ginger mint",200 gms | 200 cups,"Rs. 2,100/ pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BLD_64_1000x.jpg?v=1581336480,,,,
109,Organic Darjeeling TGBOP ( Tippy Golden Broken Orange Pekoe) 2nd Flush Loose Leaf Black Tea Tin      150G,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT32-2_1000x.jpg?v=1623665152,,,,
110,Bulgarian Ink Rose Flower Tea            100 G,"Eases menstrual cramps, Rich source of Vitamin C, Prevents cardiovascular diseases and osteoporosis, Gives radiant skin and slows down aging, Promotes relaxation.",Whole Dried Rose Flowers,100 gms | 66 cups,"Rs. 2,400 / pouch",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/FT04_1f30530f-e078-4ba0-8641-1c0b4b1ac8df_1000x.jpg?v=1581147050,,,,
111,Darjeeling AV2 (Ambari Vegetative) Clonal - Argent Loose Leaf Black Tea Tin                 100G,"Packed with anti-oxidants, Good for cholesterol Heart health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 100 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT13-1_1000x.jpg?v=1624352928,,,,
112,You Are Special Gift Care Box                   100G Tea,"Good for weight loss, Anti-aging, Detox, Cholesterol control, Dental health, Lowering blood pressure, Anti-oxidant","(100gms Dooars Green Tea,Â 300ml Mug, 1 Candle)",Gift Box,"Rs. 3,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Box8_1_1_1000x.jpg?v=1611810914,,,,
113,Organic Darjeeling TGBOP  ( Tippy Golden Broken Orange Pekoe) 1st Flush Loose Leaf Black Tea                         150G,"Good for heart health, Bones, Weight loss, Dental health, Packed with anti-oxidants.",Whole leaves Black Tea,150 gms | 150 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT31-1_1000x.jpg?v=1624352958,,,,
114,"Lets Lift Iced Tea Tin, 30 pcs","Reduces bad cholesterol, Good for blood pressure, Aids digestive system, Powers the immune system, Protects liver, Works as an anti-depressant, Aids weight loss, Promotes skin care","Hibiscus, Orange Peel and Rosehip.",30 pcs | 30 cups,"Rs.1,500 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/IC-04-2_1000x.jpg?v=1640179221,,,,
115,White Lavender Paradise                    50G,"Packed with anti-oxidants, Removes toxins, Promotes relaxation, Digestive care, Detoxifies the body.","Organic White Bai Mudan leaves, French Lavender buds, Lavender leaves",50 gms = 50 cups,"Rs. 1,300 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WhiteLavenderparadise_1000x.jpg?v=1597053196,,,,
116,Romantic Tea Care     2 x 25 g,"Packed with anti-oxidants, Lowers cholesterol, Enhances mood, Relieves stress, Boosts immunity has calming effect","25g Organic Jasmine Black Tea, 25 grams of our Jasmine Tea - Argent,Â 500ml Mug, 1 Candle",Tea Care Package      2 x 25G Teas,"Rs.3,500 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/13_d6b45b84-6ca1-4dd9-94a0-d86e7b7db390_1000x.jpg?v=1581597782,,,,
117,Six Mini TDTâ€™s Oolong Teas            6 x 25 g,"Help Manage Stress, Weight Loss, Help Prevent Diabetes, Heart Health, Improve Brain Function, Protect Against Certain Cancers, Promote Tooth and Bone Strength, Lower Cholesterol","25g  Darjeeling Loose Leaf Oolong Tea, 25g of Taiwanese Premium Argent Loose Leaf Oolong Tea, 25g of Taiwanese Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin  Autumn Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin Spring Loose Leaf Oolong Tea, 25g of Chinese Tie Guan Yin Or Loose Leaf Oolong Tea",,"Rs. 3,700 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Set_6_Oolong_Tea_1000x.jpg?v=1580904284,,,,
118,Secret of Darjeeling FTGFOP ( Fine Tippy Golden Pekoe Orange Pekoe) 2nd Flush Black loose leaf Tea Tin                      100G,"Ideal for detox and weight loss, Packed with anti-oxidants, Improves liver health, Good for heart stress relief, Cholesterol control.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT24_C_-2_29b1eafa-541b-4dc7-8391-5b5caca728e0_1000x.jpg?v=1623664742,,,,
119,Designer Rose Flower tea Cake 100 G,"Promotes metabolism, Improves skin, High in anti-oxidants, Recommended for women.",Whole leaves Designer Tea,100 gms | 100 cups,"Rs. 2,000 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT-06_1000x.jpg?v=1563011809,,,,
120,"Un bouquet de Jasmine, 100 G","Promotes weight loss, Good for heart, Packed with anti-oxidants, Anti-aging properties, Boosts cardio vascular health, Enhances mood","Organic Designer Peridot Tea, natural Jasmine flavour",100 gms | 132 cups,"Rs. 4,000 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DT03_962a173a-ef05-4995-8148-56d8be0174c9_1000x.jpg?v=1581329526,,,,
121,Chinese Fujian White Moon Cake Tea                       75 G,"Packed with anti-oxidants, Anti-aging properties, Good for skin and weight loss, Anti-bacterial.",Whole leaves White Tea,75 gms | 56 cups,"Rs. 2,250 / cake",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT05_1000x.jpg?v=1609408128,,,,
122,Jasmine Amaranth affair Blooming Tea 10 pcs,"Fine green, blooming tea with leaves intricately wrapped around 4 Jasmine and 1 Globe Amaranth flowers. When the tea bloom is dropped in freshly boiled water, it â€œbloomsâ€",Each flower is made of 4 jasmines + 1 Gomphrena Globosa tied with whole green tea leaves,10 pcs | 30 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/TBL_16_1000x.jpg?v=1615446752,,,,
123,Tibet Black Tea  250 G,"Promotes well-being of gastro-intestinal tract, Reduces fat and bad cholesterol, Promotes weight loss, Reduces hypertension, Rejuvenates skin.",Whole leaves Black Tea,1 pcs | 417 Cups,"Rs.1,800 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT05_43a6e981-9ce3-40b2-9bcb-0aad10fac4b8_1000x.png?v=1573889358,,,,
124,"Crown of Darjeeling Black FTGFOP ( Fine Tippy Golden Flowery Orange Pekoe)  First Flush- Platine, Loose Leaf Tea Tin                100G","Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT20-1_1000x.jpg?v=1624352994,,,,
125,Spirit of Darjeeling FTGFOP-1 ( Fine Tippy Golden Flowery Orange Pekoe) First Flush- Black Loose Leaf Tea Tin               100G,"Packed with anti-oxidants, Good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 2,900 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT19_B_-2_1000x.jpg?v=1623665212,,,,
126,"Organic Jewel of Darjeeling TGBOP-1 (Tippy Golden Broken Orange Pekoe) First Flush- Argent,Black Loose Leaf Tea Tin  150G","Packed with anti-oxidants, good for cholesterol, Cardiovascular health, Weight loss, Stress relief.",Whole leaves Black Tea,150 gms | 150 cups,"Rs. 2,600 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT18_A_-1_1000x.jpg?v=1623664218,,,,
127,Rare Chinese Purple Tea Cake                   200 gms,"Promotes weight loss control blood, Pressure and cholesterol, Relieves hypertension and aids digestion.",Whole leaves Herbal Tea,200 gms | 200 cups,"Rs. 2,800 / box",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT07_7bf86e05-fafb-450b-9bec-a820d7391a80_1000x.jpg?v=1609407822,,,,
