,title,50,100,200,250,500,price,image,features
14,Brindleberry/Garcinia Cambogia /Malabar Tamarind,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/brindleberry_x360.jpg?v=1623163493,Brindleberry / Malabar Whole is processed traditionally. Sourced from the organically grown trees and sundried in a hygienic environment.
15,Premium Quality Ceylon Cinnamon Quills -  (in glass jar),,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CeylonCinnamonQuills_x360.jpg?v=1623598200,Premium Quality Ceylon Cinnamon Quills 
16,"Premium Cumin Whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches) (Glass Jar)",Rs. ,Rs.  389,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CuminWholeJeeraSabut_x360.jpg?v=1623565270,"Premium & Limited edition Single Origin Cumin Whole seed  sourced from the selected organic farmers of Surendra Nagar district of Gujarat. Thoroughly washed and sundried, Made in small batches, this produce is grown and secured without harming the natural ecosystem, following the rules of Permaculture
"
17,Premium Quality Carom Seed / Bishop’s Weed (Organically Grown & Single Origin),,,Rs. 389,,Rs. 545,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ajwain_x360.jpg?v=1624765174,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice whole. Sourced from the organic fennel seeds farmers of Gujarat
No artificial colours/No preservatives/No additives added
"
18,Long Pepper Whole (Organically Grown/Single Origin & Homestead Produce),Rs. 324,Rs. 389,Rs. 649,,Rs. 1234,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/longpepper_x360.jpg?v=1623165010,"Fresh long pepper whole sourced from a single-origin farm. Sourced from a fair traded and organic certified farmer in Wayanad in Kerala. Free from additives, pesticides, preservatives or colour enhancing agents. Solar dried, hand-picked and hygienically packed Indian long pepper belongs to the pepper family. It has many medicinal properties and widely used in ayurvedic medicines. It improves appetite, digestion, stomachache and diarrhea."
19,Fermented & Sun-Dried Raw Cocoa Bean (Organic & Single-origin),Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cocoabean_x360.jpg?v=1623164653,"Finest Quality of fermented Cocoa Beans sourced from an organic and fair trade farmer in Kerala. It is single-origin and direct farm produce.
"
20,Fresh Turmeric Root (Organically grown & Single origin produce) ,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fresh-turmeric-roots-isolated-white_x360.jpg?v=1623215125,"Sourced from organic and fair trade certified farmers in Wayanad, Kerala.
Sourcing only local, Non-GMO variety of fresh root only. No hybrid variety is sourced.
No fertilizer is used organic and pesticide free and chemical free, Non- GMO, Non-ETO, Vegan, Non-irradiated & Gluten free "
21,Premium Quality Single Origin Clove Whole - (In Glass Jar),,Rs. 649,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CloveWhole_x360.jpg?v=1623597906,Premium quality Cloves Whole
22,Premium quality Single origin Tellichery Special Extra Bold Black Peppercorns Whole - (In Glass Jar),,Rs. 650,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/TellicherySpecialExtraBoldBlackPeppercornsWhole_x360.jpg?v=1623597393,Premium quality Single-origin Tellichery Special Extra Bold Black Peppercorns Whole 
23,Allspice Berries (Whole) - (Jamaican Pepper/Jamaica Pimenta),Rs. 259,Rs. 454,Rs. 649,,Rs. 1430,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspice_x360.jpg?v=1626064554,"Single origin, organically grown and homestead produce. Ethically sourced from an organic and fair trade farmer in Wayanad in Kerala. 
Free from preservatives, additives, pesticides and chemicals. Handpicked  and hygienically packed. Non- GMO, Non-ETO, Non-irradiated."
24,"Premium Fennel whole – 100 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches) - (In Glass Jar)",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Fennelwhole_x360.jpg?v=1623566082,"Premium & Limited edition Single Origin Fennel Whole, is sourced from the organic farmers of Gujarat in only small batches following the rules of permaculture, and is grown and secured without harming the natural ecosystem
"
25,"Gift Pack of 10 Kerala Spices - Cardamom, Black Pepper, Cinnamon, Clove, Nutmeg Mace, Star Anise, Long Pepper, Black Cardamom, Nutmeg Whole, Allspice - 50 Gm Each",,,,,Rs. 2145,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_3_x360.jpg?v=1623600956," Each fresh batch is hygienically packed. Gathered from homestead fair trade network of farmers in small batches: who practice the organic way of cultivation.
Free from pesticides, herbicides and other chemical impurities
"
26,Monthly Economy combo pack of spice whole- ,,Rs. ,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_x360.jpg?v=1623601062,All are organically grown spices and sourced from single farm and are made in small batches to maintain freshness
27,Premium Quality Single Origin Star Anise Whole - 50 gm (glass jar),,Rs. 649,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/StarAniseWhole_x360.jpg?v=1624516959,"Pure Premium Quality  collected from the Western Ghats region and sun-dried.  Single Origin, Farm Direct Produce & organically grown following the rules of permaculture, this produce is grown and secured without harming the natural ecosystem
Exotic Star anise is known to have anti-oxidant, anti-inflammatory, and wellbeing advancing properties. Star anise is an ingredient of the traditional five-spice powder."
28,Premium Quality Single Origin Nutmeg Whole - 200 gm (glass jar),,,Rs. 649,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NutmegWhole_x360.jpg?v=1623599237,Premium Single Origin Nutmeg Whole - 200 gm (Ingredients: 100% Pure Premium Quality Nutmeg Whole/ Muscade entière/ Nuez moscada entera/Muskatnuss ganz/Noce moscata intera/Jawzat altayib kamila/ Zhěnggè ròu dòukòu)
29,"Premium Kashmiri Chilli Whole – 50 gm (Single Origin, Farm Direct Produce, Organically Grown & Made in small batches)",Rs. 389,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/KashmiriChilliWhole_x360.jpg?v=1623564842,"Premium & Limited edition Single Origin,  from organic farmers of Kashmir. Carefully sourced following the rules of permaculture, this produce is grown and secured without harming the natural ecosystem
"
30,Dry Turmeric whole (Organically grown & Single origin produce),Rs. 390,Rs. 714,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/DryAlleppeyFingerTurmericwhole_1_x360.jpg?v=1623648017,"Sourced from organic and fair trade certified farmers in Wayanad, Kerala. Only local, Non-GMO variety root is sourced.  No hybrid variety is sourced. 0% pesticide, insecticide, fungicide, preservatives added.
 Pesticide-free, chemical-free, Non- GMO, Non-ETO, Vegan, Non-irradiated & Gluten-free. Turmeric is an essential ingredient in most of immunity boosters."
32,Premium Quality Single Origin Kerala Cinnamon Stick - 100 gm (in glass jar),,Rs. 519,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/KeralaCinnamonStick_c4493f55-de40-42ab-bdd5-811fb3a468de_x360.jpg?v=1623648232,Premium Single-origin from Kerala
