,title,50,100,200,250,500,price,image,features
64,"Combo Offer of Spices - Cardamom, Clove & Black Pepper - 100 gm each",,,,,,Rs. 1559,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_x360.jpg?v=1623586502,"
Sourced from homestead organic and fair trade farmers of Western Ghats region, Kerala
Single-origin & small batched products & free from pesticides & other chemical impurities.
Perfect gifting option."
65,High Curcumin Lakadong Turmeric Powder - Directly sourced from the organic farmers of Lakadong Village - East and West Jantia Hills of Meghalaya,Rs. 259,Rs. 324,Rs. 584,,Rs. 1039,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/LAWT02WT_x360.jpg?v=1622795380,"Lakadong turmeric, considered the best turmeric in the world, has the highest curcumin content of minimum 8%.  It has a distinct aromatic flavor and light brown colour compared to ordinary varieties of turmeric.                                                                                                                                                                                                           This product is ethically sourced through farmer’s groups in the Lakadong village. handpicked, sorted and washed three to four times, then sliced into small pieces and  sun dried and  powdered in small batches. This turmeric is not oil extracted, is 100 % free from any kind of pesticides, additives or preservatives.
"
66,"Travancore Nutmeg Powder - Organically Grown, Single origin & Homestead produce",Rs. 259,Rs. 389,Rs. 584,,Rs. 1300,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NUTMEGPOWDER100gm_x360.jpg?v=1624811465," Finest quality Travancore Nutmeg sourced from an organic certified farmer at Moolankavu village of Sulthan Bathery at Wayanad, in Kerala with authentic source certification details. Product is handpicked in small batches and hygienically packed as per stringent quality standards.
100% natural and organically grown local variety. No hybrid variety is sourced. No preservatives, additives or flavours added.
Nutmeg is used in skincare for its anti-microbial and anti-inflammatory properties. It helps in detoxifying the body, clearing out toxins from the liver and kidneys.
It is also good for digestive issues such as constipation, gas trouble etc. It is helpful for dental care. It is used in puddings, cookies and spice cakes etc.
"
67,"Allspice Powder (Gourmet Grade Spice Powder) - (Jamaican Pepper powder) - Ground allspice from organically grown, single origin homestead produce)",Rs. 324,Rs. 454,Rs. 714,,Rs. 1560,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/allspicepowder100gm_x360.jpg?v=1624765457," Single origin, organically grown and homestead produce of an organic and fair trade certified farmer in Wayand, Kerala. Freshly handpicked allspice berries are hygienically  powdered  in small batches as per international quality standards.
100% pesticide and chemical free, free from any kind of preservatives or additives.                                                                                                                                                                                                                                               Allspice has a unique flavour combination of pepper, clove, cinnamon and nutmeg.  Allspice powder can be sprinkled on cakes, desserts, preserves and fruit pies,  in  Seasoning blends  for meats, fish,  soups, stews and curries.
"
68,Dry Ginger Powder (Organically grown & Single origin produce) ,Rs. 259,Rs. 389,Rs. 714,,Rs. 1557,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/gingerpowder100gm_x360.jpg?v=1624768677," Premium gourmet quality spice powder sourced from an organic and fair trade certified farmer in Wayanad, Kerala. This is a local variety called ‘Maran’                                                                                                                                                                                       Fresh ginger root skin is peeled, washed three times, sliced, solar dried , and then powdered.
0% pesticide/  insecticide/ fungicide free. Free of preservatives, and added flavours.                                                                                                                                                                                                                             Ginger is a immunity booster.  Dried ginger powder is used in spices and masalas for gravies, curries, marinades, stews. 
"
69,"Cardamom Seeds Powder (Organically grown, Single origin & Homestead produce)",Rs. 584,Rs. 1039,Rs. 1949,,Rs. 4550,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamompowder50gm_x360.jpg?v=1624765764," Single origin, organically grown, pesticide free and homestead produce from the world’s best spice- producing mountain ranges- the Western Ghats of India.
100% natural, no colour, preservatives or additives added. Gluten Free | Vegan | Non-GMO | Non-ETO |Non –irradiated.
Only fresh harvest is sourced in small batches  from a certified organic farmer in Idukki, Kerala.
Cardamom is widely used as a flavouring agent in desserts, beverages, sausage, vegetable dishes and savoury meat and fish recipes.
"
70,"Fresh ground True cinnamon (Cinnamomum verum) (Organically grown, Single origin & homestead produce from Kerala)",Rs. 259,Rs.  520,Rs. 584,,Rs. 1560,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/keralacinnamonpowder_x360.jpg?v=1624952358,"True Cinnamon of finest quality, organically grown, single origin, homestead produce of  organic and fair trade certified farmers in Wayanad, Kerala
Fresh cinnamon bark is handpicked, carefully sorted, shade- dried,  powdered fine and packed in lock glass jars/tins to retain maximum flavour.
This cinnamon powder is true, and not cassia. True cinnamon powder has very delicate mild sweet flavor, is light brown or tan brown colour. Cassia powder is very dark brown colour and has very hot, spicy and pungent smell

"
71,Curry Leaves Powder,Rs. 249,Rs. 349,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CurryLeavesPowder50gm_x360.jpg?v=1624951730,"100% organic and pure, natural curry leaves  sourced from the homestead produce of fair trade farmers of Kerala.
No additives, colours or preservatives added. Fresh water washed and solar dried.
Curry leaves are a rich source of vitamin B. "
72,"Special Graded Ground Malabar Pepper Powder -Organically Grown, Single Origin & Homestead Produce",Rs. 259,Rs. 389,Rs. 649,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackpepper50gm_x360.jpg?v=1624769117,"Special- Graded and sourced from a fair traded and organic certified farmer, Ravi from Wayanad in Kerala.
Only the latest and freshest batch is procured. No oil extracted spice is used for making powder. High oil content is ensured.
"
73,Bay Leaf Powder - (Organically grown and homestead produce),Rs. 259,Rs. 317,Rs. 757,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/bayleavespowder100gm_x360.jpg?v=1624765425,"100% natural, organically grown, vegan, Non- GMO, Non-ETO, Non-irradiated product. No chemicals, pesticides, preservatives added
Premium quality leaves  are shade dried, powdered and packed with exceptional care.
Gives a pleasant aroma and enhances the taste of dishes. Used in spice blends like garam masala, or in biryanis, rice dishes, soups, curries. stews, soups, and marinades.
Bay leaf is  anti-fungal, anti-inflammatory and can be used as remedy to relieve pain, improve menstrual health, and treat cold & cough
"
74,"Ground White Pepper  (Organically Grown, Single Origin & Homestead Produce)",Rs. 324,Rs. 454,Rs. 779,,Rs. 1708,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/whitepepperpowder100gm_x360.jpg?v=1624769307,"Package Contents: Special Graded White Pepper Powder. We are not using any chemical process to make white pepper/powder. Only handmade and mechanical process is applied
We make special grade White Pepper from the special graded Malabar Black pepper undried one, sourced from a fair traded and organic certified farmer based in Wayanad, Kerala. Made in small batches. No oil extracted spice is used for making powder."
75,Ground Long Pepper (Organically Grown/Single Origin & Homestead Produce),Rs. 324,Rs. 454,Rs. 714,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/longpepperpowder100gm_x360.jpg?v=1624768771,"Best quality, organically grown, single origin, from a fair traded and organic certified farmer in Wayanad in Kerala.                                                                                                                                                                          Free from additives, pesticides, preservatives or colour enhancing agents. No oil taken. Non- GMO, Vegan, Gluten free, Non-irradiated. Solar dried, hand-picked and hygienically packed.
Indian long pepper is widely used in ayurvedic medicines. It improves appetite, digestion, stomachache and diarrhea. It is also used for lung problems such as asthma, bronchitis, cough, throat pain and fever.  It has good anti-septic and anti-biotic properties"
76,"Ground Mace  (Organically Grown, Single Origin & Homestead Produce)",Rs. 454,Rs. 779,Rs. 1299,,Rs. 3575,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/macepowder100gm_x360.jpg?v=1624768786,"100% Natural, Organic, Non-GMO, No Preservatives, Vegan, Gluten free, non-irradiated premium Gourmet Food Grade Spice, sourced from an organic and fair traded farmer in Wayand district of Kerala.                                  This is organically certified and ethically sourced,  handpicked, manually sorted and hygienically processed mace as per international quality standards.                                                                                                                                            Ground mace is used as a  flavouring in curries, pickles, sauces, stews, desserts and baked products."
77,Fresh and Natural Turmeric Powder (Organically grown & Single origin produce with source details),Rs. 194,Rs. 259,Rs. 389,,Rs. 714,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/turmericpowder100gm_x360.jpg?v=1624952782,"Sourced from an organic and fair trade certified farmer in Wayanad, Kerala with authentic source certification in every batch.
Non-GMO, non- hybrid variety is sourced and 100% free of pesticides, insecticides, fungicides, preservatives .                                                                                                                                                                         Handpicked turmeric root is washed three to four times, then sliced into pieces,  sun-dried and then  powdered.

"
78,"Ground Cloves   (Organically Grown, Single Origin & Homestead Produce)",Rs. 324,Rs. 454,Rs. 714,,Rs. 1299,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/clovepowder50gm_x360.jpg?v=1624766749,"Single Origin 100% natural, organically grown, fair traded and ethically sourced cloves from western ghats of Kerala.  Non-GMO, No Preservatives, Vegan, Gluten free with zero pesticides, chemicals or preservatives.                                            Has high Oil Content, is rich in flavor, Handpicked, manually sourced and hygienically packed and powdered as per international quality standards."
79,Ground Star Anise,Rs. 298,Rs. 519,Rs. 714,,Rs. 1560,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/STARANISEPOWDER50gm_x360.jpg?v=1624769018," Premium gourmet grade spice powder,  100% Natural, Non- GMO, No Preservatives and Artificial Colors, Vegan.
"
80,Fresh & Natural Black Cardamom Powder ,Rs. 298,Rs. 649,Rs. 714,,Rs. 1364,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/blackcardamom50gm_x360.jpg?v=1624765691,"Freshly Handpicked berries, Organically sourced from women farmers’ network of organic state of Sikkim, are ground and packed in glass jar to retain the freshness, flavour and aroma. Made small batches.
No chemicals, no pesticides or no additives added. Non- GMO, Non- ETO, non-irradiated produce. er
Black Cardamom has many antioxidants, vitamin C and the essential minerals such as potassium &  is a natural remedy for respiratory problems such as asthma, cold, cough and bronchitis
"
81,Freshly Ground True SriLankan / Ceylon Cinnamon Powder (Cinnamomum verum),Rs. 259,Rs. 389,Rs. 649,,Rs. 1560,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ceylonecinnamonpowder_x360.jpg?v=1626363969," Sourced directly from organically grown co-op farms of Sri Lanka.
Gourmet cinnamon with full oil content. No oils taken.100% Natural, Non-GMO, Organically Grown & Non-Irradiated. Vegan, Gluten free, preservative & Additives free
Cinnamon is  an aromatic flavouring agent used in a many cuisines, savoury dishes, biriyani's, soups, snacks, breakfast cereals, teas and coffee."
82,"Brindleberry Powder (Garcinia Cambogia /Malabar Tamarind) - Organically grown, Single Origin & Homestead produce",Rs. 325,Rs. 779,,,Rs. 1557,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/brindleberry_3e3f703a-0162-499b-ae86-505eb1094f42_x360.jpg?v=1624951350,Processed from the organically grown Malabar tamarind trees and sundried in a hygienic environment and  powdered  in-house.
83,Ground Bird's Eye  /Thai Chilli Powder,Rs. 519,Rs. 1008,Rs. 1560,,Rs. 3120,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/bd_x360.jpg?v=1617207079,"Finest graded homestead spice from organic farmers network in Wayanad. Pesticide free, chemical free, Non- GMO, Non-ETO, Vegan, Non-irradiated and Gluten free.                                                                               Handpicked, hygienically packed and ground in small batches only. No added colours, preservatives, additives or chemicals.                                                                                                                                                               Hotness range from 50,000- 1,00,000 SHU( Scoville heat units). Has medicinal properties including the capacity to reduce hypertension and cholesterol.
"
84,100% Pure and natural Vanilla powder from Kerala – Made from Grade A Vanilla Pods        10 G : Rs. 1039               25 G : Rs. 2600,Rs. 5460,Rs. 870-,"Rs. 15,309",,"Rs. 28,309",,//cdn.shopify.com/s/files/1/0450/4161/5010/products/1233_x360.png?v=1622894231,"Finely ground vanilla beans powder, sourced from the best quality vanilla beans from  organic and fair trade farmers’ network in Kerala
No pesticides, Chemicals, Additives or Preservatives added. 100% Natural, Organic, Non-GMO, Vegan, Gluten free, non-irradiated premium Gourmet Food Grade Spice.
Our A grade grade vanilla powder has a rich creamy flavour along with a heavenly aroma. "
85,Special Combo Pack of Cardamom Seed+Cardamom Seed Powder - 50 Gm,,Rs. 1039,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_6_x360.jpg?v=1625466039,"Organically grown and made from finest quality of Cardamom, seeds. Sourced from organic and fair traded farmers network  of Idukki district of Kerala.
No artificial colours, flavors or preservatives added. Gluten-free, non irradiated."
86,Special Combo Pack of Cardamom Seeds Powder + Black Pepper Powder - 50 Gm Each,,Rs. 779,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_5_x360.jpg?v=1625466336,"Finely grounded organic spice powders from Kerala for your daily needs.
Manually picked. Small batch production only."
87,Special Combo Pack of Clove Powder + Black Pepper Powder - 50 Gm Each,,Rs.  428,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_7_x360.jpg?v=1625466612,"Manually picked . Small batch production only.
"
88,Special Combo Pack of Black Pepper Powder + White Pepper Powder – (50 gm Each),,Rs.  454,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_3_c6501a32-cf1a-4cca-8271-72e23186ab6a_x360.jpg?v=1625466870,"Finely grounded organic spice powders from Kerala for your daily needs.
Manually picked. Small batches production only. Ground only once order is placed. "
89,Special Combo Pack of Cardamom Seeds Powder + Black Pepper Powder + Clove Powder – (50 gm Each),,Rs. 1106,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_6_da147c87-78a1-4064-a7f0-fd267cfd370a_x360.jpg?v=1625466975,"Finely grounded organic spice powders from Kerala for your daily needs
Manually picked. Small batches production only. Ground only once order is placed. "
90,Special Combo Pack of Mace Powder (Javitri) + Nutmeg Powder ( 50 gm Each),,Rs. 649,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_10_x360.jpg?v=1625467067,"Finely grounded organic spice powders from Kerala for your daily needs.
Manually picked. Small batches production only. Ground only once order is placed. "
91,"Gift Boxes of5 KERALA Spice Powders  - 100 gm Each of Cardamom, Black Pepper, Clove, Cinnamon and Nutmeg",,,,,Rs. 2860,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_12_x360.jpg?v=1625561300,"Specially Packed Kerala Spices in eco friendly gift box
Perfect Gift for your dear and near ones.
A premium quality gift item from the house of looms & weaves (LAW)"
92,Combo Offer - (100 gm Black Pepper Powder + 100 gm Cinnamon Powder + 100 gm Cardamom Seed Powder),,,,,,Rs. 956,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_4_63b88f65-e7a3-47de-af04-50889cda6467_x360.jpg?v=1625467490,"Sourced from organically grown Travancore nutmeg growers in Kerala and ground in-house.
No additives, Colours or preservatives added
"
93,Combo Offer - (100 gm Cardamom Seed Powder + 100 gm Nutmeg Powder),,,Rs. 1234,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_2_c932edb5-d1cd-4e4e-a6f3-4b34d3d7445f_x360.jpg?v=1625467629,"100 % pure and natural spice powders
Sourced from  organically grown Travancore nutmeg growers in Kerala and ground in-house. No additives, Colours or preservatives added
"
94,Combo Offer (100 gm Nutmeg Powder + 100 gm Mace Powder),,,Rs. 907,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_3_d7f257a9-3be8-4a1e-9dd7-dc2e3767179e_x360.jpg?v=1625467746,"100 % pure and natural spice powders. No additives, Colours or preservatives added
Sourced from the organically grown Travancore nutmeg growers in Kerala and ground in-house.
"
95,Combo Offer (100 Black Pepper Powder + 100 gm Cardamom Seed Powder + 100 gm Clove Powder,,,,,,300 G  : Rs. 1358,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Combo_1_9538b464-2ef1-4f17-8ff4-7ffa329755dc_x360.jpg?v=1625626524,"Sourced from the organically grown farms of marginal farmers of western ghats of Kerala
"
96,Monthly Economy Premium combo pack of spice powders,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AMF08529_x360.jpg?v=1604843020,"Spices powders Combo pack for your family
All are organically grown spices and sourced from single farm
"
97,Monthly Economy combo pack of spice powders,,,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/AMF08520_5222a911-a919-4d3b-b429-8645b02854d1_x360.jpg?v=1604297285,"Basic spices powders Combo pack.
All are organically grown spices and sourced from single farm"
98,"Crushed White Pepper (Medium Ground) - Organically Grown, Single Origin & Homestead Produce- 100 gm",,Rs. 389,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/crushedwhitepepper100gm_x360.jpg?v=1624951565," Special Graded Crushed White Pepper, sourced from a fair traded and organic certified farmer based in Wayanad, Kerala. Made in small batches. No oil extracted form spice when ground.  
Organic, pesticide and chemical free, Non- GMO, Non-ETO, Vegan, Gluten free."
99,"Cardamom Seeds/ Decorticated -  (Tiny, Fragrant Seed, removed from the Cardamom pod) - 100 gm",,Rs. 1108,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cardamomseeds100gm_x360.jpg?v=1624765813,"Single origin, organically grown, pesticide free and homestead produce from the world’s best spices producing mountain ranges- Western Ghats.
100% natural, no colour, preservatives or additives added. Gluten Free | Vegan | Non-GMO | Non-ETO |Non –irradiated Premium Gourmet Food Grade Spice
Seeds are sourced from a certified organic farmer in Idukki, Kerala. Only fresh harvest is sourced in small batches.
"
100,Premium Quality Chilli Powder (Organically Grown & Single Origin),,,,Rs. 324,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/chilli_x360.jpg?v=1624766415,"Single Origin, Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Chilli Powder
No artificial Colours, preservatives, additives added
Made from best quality Chili  with natural oils. Sourced from the organic Chilli farmers of Guntur, Andra Pradesh
"
101,Premium Quality Kashmiri Chilli PowdeR (Organically Grown & Single Origin),,,,Rs. 325,Rs. 649,1 Kg  : Rs 1299,//cdn.shopify.com/s/files/1/0450/4161/5010/products/kashmirichilli_x360.jpg?v=1624951845,"Single Origin, Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Kashmiri Chilli sourced from the organic farmers of Kashmir ,washed several times, sundried and  ground in house. No artificial Colours/ No preservatives/No additives added. No oils are extracted during the process.

"
102,Premium Quality Coriander Powder  (Organically Grown & Single Origin),,,,Rs. 324,Rs. 649,1 KG : Rs. 1299,//cdn.shopify.com/s/files/1/0450/4161/5010/products/coriannderpowder_x360.jpg?v=1624767119,"Single Origin, Non-GMO, Vegan, Gluten free. No artificial Colours, preservatives, additives added
 Gourmet Food Grade, Sourced from the organic coriander farmers of Ramganj Mandi in Kota, Rajasthan
"
103,Premium Quality Garam Masala Powder (Organically Grown & Single Origin),,,,Rs. 324,Rs. 650,1 KG : Rs. 1300,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Garam1_x360.jpg?v=1607536802,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice mix Powder
Made from best quality spices. Sourced from the best organic farmers across India. No artificial Colours/ No preservatives / No additives added
"
104,Premium Quality Cumin Powder (Organically Grown & Single Origin),,,Rs.  389,,Rs. 649,1 KG : Rs. 1299,//cdn.shopify.com/s/files/1/0450/4161/5010/products/cuminpowder_x360.jpg?v=1624951626,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Cumin Powder
No artificial Colours/ No preservatives / No additives added
Made from best quality Cumin whole with natural oils. Sourced from the organic Cumin farmers of Surendra Nagar dstrict of Gujarat
Made only in small batches to retain the flavour."
105,Premium Quality Fennel Powder (Organically Grown & Single Origin),,,,Rs. 324,Rs. 649,1 KG : Rs. 1299,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fennelpowder_x360.jpg?v=1624767482,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fennel Powder
Made from best quality fennel whole with natural oils. Sourced from the organic fennel seeds farmers of Gujarat
No artificial Colours/ No preservatives / No additives added
"
106,Premium Quality Fenugreek Powder  (Organically Grown & Single Origin),,,Rs. 454,,Rs. 649,1 KG : Rs. 1299,//cdn.shopify.com/s/files/1/0450/4161/5010/products/fenugreekpowder_x360.jpg?v=1624767557,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Fenugreek Powder
Made from best quality fenugreek whole. Sourced from the organic fenugreek farmers of Gujarat
No artificial colours/No preservatives/No additives added

"
107,Premium Quality Mustard Whole - (Organically Grown & Single Origin),,,Rs. 324,,Rs. 519,1 KG : Rs. 909,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Mustardwhole_x360.jpg?v=1623682867,"Non-GMO, Vegan, Gluten free Premium Gourmet Food Grade Spice Whole
No artificial colours/ preservatives / additives added
Our special graded mustard is sourced from the selected organic farmers of Rajasthan. Carefully sourced mustard whole is washed 2-3 times and then dried in sun."
108,Premium quality Asafoetida Powder ,,Rs. 649,Rs. 1557,,Rs. 3899,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/Asafetida1_x360.jpg?v=1607538152,"Special grade Asafoetida made from Natural first extract, sourced from Afghanistan
No artificial flavour or artificial colours added
"
109,Cardamom Seed Powder - 100 gm,,Rs. 909,,,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/812gVdQjQvL._SL1500_x360.jpg?v=1644840537,"Organically grown, homestead spice, sustainably sourced from small farmers’ networks in Northern Kerala, India. Processed without the use of toxic pesticides, irradiation, or genetically engineered products.
"
110,"100% Pure, Natural and Unrefined Coconut Sugar Powder - Natural Sweetener / Sugar Alternative /Unrefined / Vegan / Organically grown",,,,Rs. 519,Rs. 1026,1 KG : Rs. 1820,//cdn.shopify.com/s/files/1/0450/4161/5010/products/CoconutSugarPowder_x360.jpg?v=1639901420,"100% natural, organically grown ,gluten-free, non- GMO, unrefined, unbleached Natural Sweetener -a  perfect replacement for white sugar with a  low glycaemic index food of 35. Coconut sugar is a super food, it has more vitamins and minerals than normal white sugar. This sugar is also rich with vitamin C, potassium, phosphorus, magnesium, calcium, zinc, iron, and copper
Sourced from certified organic coconut farms of fair trade farmers’ network in Kerala. Made from the finest quality coconut flower nectar. Made in small batches.
An ideal sugar replacement for people with  diabetes."
111,NATURAL PALMYRA Jaggery ( UNREFINED PALM SUGAR) Powder ,,,,RS. 454,Rs. 1037,1 KG : Rs. 1820,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggeryPowder_x360.jpg?v=1639906570,"100% pure, natural palmyra palm source. An ideal alternative for brown and white sugar. The colour of palm jaggery varies from brown to dark brown depending on place of origin and processing.                                               Palm jaggery is made naturally and is a rich source of minerals and vitamins, made from organically grown palm trees of western ghats region of Kerala – Tami Nadu border.                                                                                   It is prepared using traditional methods without adding any chemicals or preservatives It is a great source of iron, magnesium and potassium

"
112," Honey from Kerala - % Pure, Natural & Ethically Sourced, Raw, Unprocessed, Unfiltered & Unpasteurized",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/RawHoney_x360.jpg?v=1640856553," 100% Pure, Raw, Natural, Unprocessed, Unfiltered,  Unpasteurized Natural Honey directly sourced  from an experienced bee keeper farmer in Kasargod district of Kerala. Of Single,  thereby  ensuring regular homogeneity in quality, flavor, taste, colour.
It is ethically sourced and cruelty free; no bee is being harmed during honey harvesting . No Preservatives, Artificial Flavors,  Additives, Colours added Raw and  contains all naturally occurring anti-oxidants, pollen, enzymes, vitamins and minerals. Raw honey has 22 essential amino acids.
Good for weight loss and digestion, boost immunity, relieves cough and cold. Raw honey can heal wounds, reduce infection and can  prevent the entry of harmful bacteria into your body due to the presence of anti-oxidants.
Raw wild honey is good for skincare and is a good anti-ageing agent. It is good for hair health. Raw honey nourishes skin, heal wounds and repairs damaged cells.
"
113,"Special Gift Pack of Raw, Unprocessed & Unfiltered Natural Honey and Forest Honey - (500 gm Each)",Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/RawHoney_WildHoney_x360.jpg?v=1640857081,"Forest  and natural honey (100% Pure, Raw, Unprocessed, Unfiltered & Unpasteurized sourced from experienced bee keepers from  the deep forests of western ghats of Kerala)
Perfect gift option to your dear ones. It is a pure, natural and unadulterated produc, ethically sourced so as not to harm wild bees and their ecosystems
No Preservatives, Artificial Flavors,  Additives &  Colours added . Raw honey is a natural immunity booster and weight loosing agent.  It is good for digestion, boost immunity, relieves cough and cold
"
114,Natural Organically Grown Unprocessed Raw Jaggery ( CANE SUGAR) Powder,,,,Rs. 389,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/JaggeryPowder_250gm_x360.jpg?v=1641363410,"100 % Pure & Healthy alternative to refined white sugar. Made from organically grown cane and prepared using traditional methods without adding any chemicals, preservatives or additives. It is raw, unprocessed and unbleached with  no sulphur added
It is rich in minerals such as magnesium iron, zinc. It is good for digestion, it is a good detoxifying agent. Good for immunity. Our jaggery is organically grown, rich in fibre, iron and vital nutrients.
"
115,100% Pure ‘RAW WILD HONEY’ from the Deep Evergreen Forests of Western Ghats of Kerala ,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/ForestHoney_x360.jpg?v=1639904034,"100% Pure Wild Honey - Raw, Unprocessed, Unfiltered & Unpasteurized,  collected from experienced  tribes from the deep forests in the Western Ghats region of Kerala. This wild forest honey comes from the nectar of wildflowers & wild trees of Kerala Forests. 
It is ethically sourced and ‘CRUELTY FREE HONEY’; no bee is being harmed during honey harvesting period by the tribals. Generally wild honey is taken after killing the bees and then hives are destroyed. We don’t source such honey and our tribesmen are trained not to harm wild bees and their ecosystems
Raw honey is a natural immunity booster and weight loosing agent. Good remedy for various diseases. It is good for digestion, boost immunity, relieves cough and cold. It has a  high amount of amino acids, enzymes, vitamins, minerals, bee pollens and anti-oxidants.
"
116,NATURAL PALMYRA Palm Jaggery BRICKS,,,,Rs. 519,Rs. 649,Rs.  1169,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggery6_x360.jpg?v=1618307827,"100% pure, natural palmyra palm source. An ideal alternative for brown and white sugar and is a rich source of minerals and vitamins.
It is made from organically grown palm trees from Kerala - TN border regions,   prepared using traditional methods without adding any chemicals or preservatives
"
117,100% Pure & Natural Raw Unprocessed PALMYRA Palm Jaggery MINI ROUNDELS,,,,Rs. 519,Rs. 649,Rs.  1169,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggery5_x360.jpg?v=1610002983,"100% pure, natural palmyra palm source. Its ideal alternative to brown and white sugar. Made naturally,  from organically grown palm trees of western ghats region of Kerala – Tami Nadu border and  is prepared using traditional methods without adding any chemicals or preservatives
Palm jaggery  is a great source of iron, magnesium and potassium, minerals and vitamins

"
118,"Pure, Natural and Unrefined Palm Sugar Powder- 250 gm",,,,Rs. 454,,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/NaturalandUnrefinedPalmSugarPowder_2_x360.jpg?v=1640857786,"Palm sugar is a natural sweetener with the lowest glycemic index. It is an unrefined sugar, known to be rich in vitamins and minerals. It is widely used as a substitute to white and brown sugar.
It is 100% pure & natural. No additives, chemicals  or preservatives added
Contains various minerals such as Iron, Zinc, Phosphorus, Potassium, Manganese, Copper and phytonutrients such as Polyphenols, It is widely known for alleviating for ailments like cold, cough, asthma.
"
119,Homemade Palm Jaggery Syrup,Rs. ,Rs. ,Rs. ,,Rs. ,,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmJaggerySyrup_x360.jpg?v=1640857539,"Made with only 100% organically grown, palm Jaggery. Pure and Homemade. A Natural Sweetener/White Sugar Substitute. Non- GMO and Low Glycemic
No preservatives, or additives added."
120,"100 % Pure, Natural and Unrefined Palm Sugar Crystals/Whole",,Rs. 259,,,,400 G :  Rs. 649,//cdn.shopify.com/s/files/1/0450/4161/5010/products/PalmSugarCrystalsWhole_x360.jpg?v=1640857365,"Palm sugar is a natural sweetener with the lowest glycemic index. It is unrefined sugar,   known to be rich in vitamins and minerals. It is widely used as a substitute to white and brown sugar
It is 100% pure & natural. No additives or preservatives added
Contains various minerals such as Iron, Zinc, Phosphorus, Potassium, Manganese, Copper and phytonutrients such as Polyphenols, It is widely known for alleviating for ailments like cold, cough, asthama etc.
"
