,title,health,ingredients,weight,price,image
15,"Indian Peppermint Herbal Loose Leaf Tea Tin,               100G","Improves digestion, Cures bad breath, Aids weight loss, Eliminates inflammation, Balances sleep patterns.",Whole leaves Herbal Tea,100 gms | 100 cups,"Rs.1,370 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/HT06_cdd89411-a7fe-4c00-9438-9c262dcc8dd3_1000x.jpg?v=1581402878
16,Darjeeling Organic Golden Needle buds  - Platine Loose Leaf Black Tea Tin              100G,"Ideal for detox, Weight loss, Packed with anti-oxidants, Improves liver health, Good for heart.",Whole leaves Black Tea,100 gms | 132 cups,"Rs. 3,450 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/BT14_1000x.jpg?v=1581403555
17,Vibrant Hibiscus          100G,1. Rich in antioxidants 2. Packed with Vitamin C 3. Good for joints 4. Aids digestion 5. Protects liver 6. Lowers blood pressure 7. Cholesterol.,"Star Anise, Hibiscus, Cloves",100gms = 100cups,Rs. 910 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/VibrantHibiscus_1000x.jpg?v=1597054250
18,Garden Mint and Rose Tea Tin                  50g,1. Improves digestion 2. Boosts respiratory health 3. Relieves stress 4. Improves immunity 5. Aids motion sickness 6. Good for menopause.,"Mint Leaves, French Pink Rose petals",50 gms = 34 cups,Rs. 800 /  tin ,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Gardenmontnrose_1000x.jpg?v=1597919707
19,Lemongrassy Hibiscus Tea Tin         75G,1. Good for the nervous system 2. Cholesterol control 3. Detoxification 4. Blood pressure 5. Blood-sugar levels 6. Packed with vitamin C 7. Carries anti-cancer properties 8. Aids weight loss 9. Boosts immune system.,"Hibiscus, Organic Lemongrass, Cinnamon",75 gms = 37 cups,Rs. 910 /  tin ,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Hibiscus_1000x.jpg?v=1597919921
21,Green Tea Stick (Pack of 99 individually wrapped tea stick),"Slimming, high in anti-oxidant (anti-aging), helps overall immune system.",Whole Leaves Green Tea,1 Stick  = 2 grams,"Rs. 3,000 / pk",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Tea_Stick_2_0ed7deca-4fdd-491b-a8fe-8f793a1f57f7_1000x.jpg?v=1582618287
22,Citrusy & Spicy Nettle Remedy Tea Tin                        50g,,"Nettle leaves, Orange Peel, Cinnamon, Dry Ginger",50 gms = 25 cups,Rs. 600 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Nettle_1000x.jpg?v=1597919628
23,Three Mini Around The World Green Teas                           3 x 25g,,,25g x 3 Teas,Rs.1050 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/Green_Tea_Contrywise_1000x.jpg?v=1580892607
24,White Silver Needle Buds                    50g,"Packed with anti-oxidants, Boosts immunity, Weight loss, Relaxation, Aids digestion.",Whole leaves White Tea,50 gms | 50 cups,"Rs.1,200 / tin",https://cdn.shopify.com/s/files/1/0072/1872/4952/products/WT01_1000x.jpg?v=1618036637
29,"Organic Red Rooibos Herbal Tea, Mini Tin Sampler Pack    25G","Packed with anti-oxidants, Anti-aging properties, Improves cholesterol, Weight loss, Reduces hypertension.",,25 gms | 19 Cups,Rs. 550 / tin,https://cdn.shopify.com/s/files/1/0072/1872/4952/products/DSC01980-01-01_1000x.jpg?v=1585734106
